Dep_Airport_ID,ARP_Latitude,ARP_Longitude,Schedule,"Runway ID",Length,Width,"Surface Type Condition","Edge Light Intensity","WBC Single","WBC Dual","WBC Two Dual","WBC Tandem Two Dual","Base Marking Condition"
IDA,043-30-49.2200N,112-04-14.9500W,ALL/ALL/0530-2130,17/35,3964,75,ASPH-G,MED,43,58,,,G
IDA,043-30-49.2200N,112-04-14.9500W,ALL/ALL/0530-2130,03/21,9002,150,ASPH-G,HIGH,140,175,270,,G
JER,042-43-36.0600N,114-27-23.9300W,ALL/ALL/0800-1700,09/27,5002,75,ASPH-E,MED,20,,,,G
TWF,042-28-54.5100N,114-29-15.8500W,ALL/ALL/0630-2000,12/30,3224,75,ASPH-F,,19,,,,G
TWF,042-28-54.5100N,114-29-15.8500W,ALL/ALL/0630-2000,08/26,8704,150,ASPH-G,HIGH,75,200,250,,G
SMN,045-07-23.8000N,113-52-53.2000W,ALL/ALL/0800-1700,17/35,5510,75,ASPH-G,MED,12,,,,G
LWS,046-22-28.1900N,117-00-55.4300W,ALL/ALL/0530-2100,08/26,6511,150,ASPH-E,HIGH,150,180,400,,G
LWS,046-22-28.1900N,117-00-55.4300W,ALL/ALL/0530-2100,12/30,5003,75,ASPH-E,MED,118,196,,,G
MYL,044-53-19.4800N,116-06-06.3100W,MAY-SEP/ALL/0800L-1800L,16/34,6101,75,ASPH-G,MED,86,141,261,,G
MYL,044-53-19.4800N,116-06-06.3100W,OCT-APR/ALL/0900L-1600L,16/34,6101,75,ASPH-G,MED,86,141,261,,G
MAN,043-34-52.8300N,116-31-23.0300W,ALL/ALL/0800-1700,11/29,5000,75,ASPH-G,MED,26,50,60,,F
PIH,042-54-35.2500N,112-35-45.3100W,ALL/ALL/0600-2200,17/35,7150,100,ASPH-G,MED,74,110,199,,F
PIH,042-54-35.2500N,112-35-45.3100W,ALL/ALL/0600-2200,03/21,9059,150,ASPH-G,HIGH,100,160,265,,G
U10,042-06-24.9700N,111-54-45.2500W,ALL/ALL/DALGT,17/35,2375,30,GRVL-DIRT-G,,,,,,F
U10,042-06-24.9700N,111-54-45.2500W,ALL/ALL/DALGT,04/22,3558,60,ASPH-G,MED,12,,,,G
SZT,048-17-58.3000N,116-33-36.5000W,SUMMER/ALL/0700-1700,02/20,5501,75,ASPH-G,MED,40,,,,G
SZT,048-17-58.3000N,116-33-36.5000W,WINTER/ALL/0800-1700,02/20,5501,75,ASPH-G,MED,40,,,,G
SPI,039-50-40.6100N,089-40-39.1700W,ALL/ALL/0530-0000,04/22,8001,150,CONC-F,HIGH,100,200,350,,G
SPI,039-50-40.6100N,089-40-39.1700W,ALL/ALL/0530-0000,13/31,7400,150,ASPH-F,HIGH,70,90,160,,G
