Dep_Airport_ID,Schedules,Facility_Type,Wind_Indicator
BRD,JUL-OCT/ALL/0500-2300,AIRPORT,Y-L
BRD,NOV-JUN/ALL/0500-2300,AIRPORT,Y-L
COQ,ALL/MON-SAT/0800-1700,AIRPORT,Y-L
DLH,ALL/ALL/ALL,AIRPORT,Y
ELO,ALL/ALL/0800-1700,AIRPORT,Y-L
GPZ,NOV-MAR/ALL/0700-2000,AIRPORT,Y-L
GPZ,APR-OCT/ALL/0700-2100,AIRPORT,Y-L
HIB,ALL/ALL/0600-2200,AIRPORT,Y-L
INL,ALL/ALL/DALGT,AIRPORT,Y
MKT,ALL/SAT-SUN/0800-1900,AIRPORT,Y-L
MKT,ALL/MON-FRI/0700-2000,AIRPORT,Y-L
MSP,ALL/ALL/ALL,AIRPORT,Y-L
ANE,ALL/ALL/ALL,AIRPORT,Y-L
FCM,ALL/ALL/ALL,AIRPORT,Y-L
RST,ALL/ALL/ALL,AIRPORT,Y-L
STP,ALL/ALL/ALL,AIRPORT,Y-L
SGS,ALL/MON-SAT/0830-1700,AIRPORT,Y-L
SGS,ALL/SUN/0830-1530,AIRPORT,Y-L
TWM,NOV-APR/MON-FRI/0800-1700,AIRPORT,Y-L
TWM,MAY-OCT/SUN-SAT/0800-1700,AIRPORT,Y-L
RRT,ALL/MON-FRI/0700-1700,AIRPORT,Y-L
HSA,ALL/MON-FRI/0700-1900,AIRPORT,Y-L
HSA,ALL/SAT-SUN/0800-2000,AIRPORT,Y-L
GTR,ALL/ALL/ALL,AIRPORT,Y-L
JAN,ALL/ALL/ALL,AIRPORT,Y-L
MEI,ALL/ALL/0600-2200,AIRPORT,Y-L
HEZ,ALL/ALL/0600-2000,AIRPORT,Y-L
UOX,ALL/ALL/0700-1800,AIRPORT,Y-L
VKS,ALL/MON-FRI/0730-1700,AIRPORT,Y-L
M17,ALL/MON-SAT/0800-1700,AIRPORT,Y-L
BBG,ALL/ALL/ALL,AIRPORT,Y
CGI,ALL/MON-FRI/0600-1900,AIRPORT,Y-L
CGI,ALL/SAT-SUN/0600-1800,AIRPORT,Y-L
AIZ,MAY-SEP/MON-WED/0800-1800,AIRPORT,Y-L
AIZ,OCT-APR/ALL/0800-1800,AIRPORT,Y-L
AIZ,MAY-SEP/THU-SUN/0800-2000,AIRPORT,Y-L
MKC,ALL/ALL/ALL,AIRPORT,Y-L
TKX,ALL/SUN/1300-1700,AIRPORT,Y-L
TKX,ALL/MON-SAT/0800-1700,AIRPORT,Y-L
IRK,ALL/ALL/0530-2000,AIRPORT,Y-L
MBY,ALL/ALL/0800-1700,AIRPORT,Y-L
VIH,ALL/SAT-SUN/0700-1700,AIRPORT,Y-L
VIH,ALL/MON-FRI/0600-1700,AIRPORT,Y-L
SIK,ALL/ALL/0800-1700,AIRPORT,Y-L
SGF,ALL/ALL/ALL,AIRPORT,Y-L
BHK,ALL/MON-FRI/0800-1700,AIRPORT,Y-L
BHK,ALL/SAT/0800-1200,AIRPORT,Y-L
6S0,ALL/MON-FRI/0800-1700,AIRPORT,Y-L
