Dep_Airport_ID,Runway_ID,Length,Width,Surface_Type_Condition,Edge_Light_Intensity,WBC_Single,WBC_Dual,WBC_Two_Dual,WBC_Tandem_Two_Dual,Base_Marking_Condition
HMP,06/24,5509,100,ASPH-G,MED,30,45,,,G
AZE,14/32,5012,75,ASPH-G,MED,30,,,,G
JZP,16/34,5000,100,ASPH-F,MED,60,95,,,F
09J,18/36,3715,75,ASPH-G,MED,20,,,,G
LZU,07/25,6001,100,ASPH-G,HIGH,93,120,,,G
SAV,10/28,9351,150,CONC-G,HIGH,75,190,310,,G
SAV,01/19,7002,150,CONC-G,HIGH,75,190,310,,G
OPN,12/30,6350,100,ASPH-G,MED,20,50,,,G
VDI,07/25,6002,100,CONC-F,HIGH,30,48,85,,F
VDI,14/32,5002,75,CONC-G,,30,48,85,,G
WDR,05/23,3607,100,ASPH-G,MED,20,,,,G
WDR,13/31,5202,100,ASPH-G,HIGH,20,,,,G
BOI,10L/28R,10000,150,ASPH-G,HIGH,100,210,446,947,G
BOI,10R/28L,9763,150,ASPH-G,HIGH,100,210,430,994,G
65S,02/20,4002,75,ASPH-G,MED,25,,,,G
LLJ,17/35,4601,60,ASPH-E,MED,30,,,,G
COE,02/20,5400,75,ASPH-G,MED,50,83,150,,G
COE,06/24,7400,100,ASPH-G,HIGH,57,95,165,,G
GIC,08/26,5101,75,ASPH-E,MED,75,95,145,,G
SUN,13/31,7550,100,ASPH-G,HIGH,65,95,150,,G
IDA,03/21,9002,150,ASPH-G,HIGH,140,175,270,,G
IDA,17/35,3964,75,ASPH-G,MED,43,58,,,G
JER,09/27,5002,75,ASPH-E,MED,20,,,,G
LWS,12/30,5003,75,ASPH-E,MED,118,196,,,G
LWS,08/26,6511,150,ASPH-E,HIGH,150,180,400,,G
MYL,16/34,6101,75,ASPH-G,MED,86,141,261,,G
MAN,11/29,5000,75,ASPH-G,MED,26,50,60,,F
PIH,03/21,9059,150,ASPH-G,HIGH,100,160,265,,G
PIH,17/35,7150,100,ASPH-G,MED,74,110,199,,F
U10,04/22,3558,60,ASPH-G,MED,12,,,,G
U10,17/35,2375,30,GRVL-DIRT-G,,,,,,F
SMN,17/35,5510,75,ASPH-G,MED,12,,,,G
SZT,02/20,5501,75,ASPH-G,MED,40,,,,G
TWF,08/26,8704,150,ASPH-G,HIGH,75,200,250,,G
TWF,12/30,3224,75,ASPH-F,,19,,,,G
CPS,05/23,2799,75,ASPH-F,MED,12,,,,F
CPS,12L/30R,5301,75,CONC-F,MED,30,30,,,F
CPS,12R/30L,7002,150,ASPH-E,HIGH,65,95,175,,G
UGN,05/23,6001,150,ASPH-G,HIGH,95,120,200,,G
UGN,14/32,3750,75,ASPH-G,MED,16,23,,,G
DPA,02R/20L,6451,100,CONC-G,MED,30,45,,,G
DPA,15/33,3399,100,ASPH-G,MED,30,45,100,,G
DPA,10/28,4750,75,ASPH-G,HIGH,30,45,,,G
DPA,02L/20R,7571,150,CONC-G,HIGH,30,45,,,G
MLI,05/23,3515,150,CONC-G,MED,60,75,120,,F
MLI,09/27,10002,150,CONC-G,HIGH,100,173,353,,G
MLI,13/31,7301,150,ASPH-CONC-G,HIGH,60,140,200,,G
