Dep_Airport_ID,Runway_ID,Num_of_Runways,Length,Width,Surface_Type_Condition,Edge_Light_Intensity,WBC_Single,WBC_Dual,WBC_Two_Dual,WBC_Tandem_Two_Dual,Base_Marking_Condition
SLE,H1,3,37,37,CONC-E,,,,,,G
SPB,15/33,1,5100,100,ASPH-F,MED,30,50,90,,F
S21,18/36,1,5460,75,ASPH-F,MED,30,,,,G
DLS,13/31,2,5097,100,ASPH-G,MED,30,30,,,G
DLS,07/25,2,4647,100,ASPH-G,MED,30,30,,,F
TMK,01/19,2,2911,75,ASPH-G,MED,40,46,67,,G
TMK,13/31,2,5001,75,ASPH-G,MED,60,75,125,,G
CXY,08/26,2,5000,150,ASPH-G,HIGH,65,105,185,,G
CXY,12/30,2,3778,100,ASPH-G,MED,40,65,115,,G
PHL,09L/27R,4,9500,150,ASPH-G,HIGH,100,210,350,,G
PHL,09R/27L,4,12000,200,ASPH-G,HIGH,200,210,350,,G
PHL,17/35,4,6500,150,ASPH-G,HIGH,100,170,300,,G
PHL,08/26,4,5001,150,ASPH-G,HIGH,,145,,,G
PNE,15/33,2,5000,150,ASPH-G,MED,40,55,,,G
PNE,06/24,2,7000,100,ASPH-G,HIGH,120,250,550,,G
AGC,13/31,3,3825,100,CONC-G,HIGH,20,22,,,G
AGC,10/28,3,6501,150,CONC-G,HIGH,90,120,210,,G
AGC,H1,3,47,45,CONC-G,,,,,,G
UNV,06/24,1,6701,150,ASPH-G,HIGH,50,110,,,G
AIK,07/25,2,5500,100,ASPH-G,MED,55,75,140,,G
AIK,01/19,2,3800,75,ASPH-F,,54,75,139,,G
JZI,04/22,2,4313,150,CONC-G,MED,45,56,,,G
JZI,09/27,2,5350,100,CONC-E,HIGH,60,100,,,G
CHS,15/33,2,9001,150,CONC-G,HIGH,,,,,G
CHS,03/21,2,7000,150,CONC-G,HIGH,,,,,G
CUB,13/31,1,5011,75,ASPH-F,MED,44,66,,,G
GMU,H2,4,50,50,CONC-G,PERI,20,,,,
GMU,H1,4,50,50,CONC-G,PERI,20,,,,
GMU,10/28,4,4000,80,ASPH-G,MED,43,62,,,G
GMU,01/19,4,5393,100,ASPH-E,HIGH,61,81,151,,G
GYH,05/23,1,8000,150,CONC-G,HIGH,94,121,199,,G
HXD,03/21,1,5000,100,ASPH-G,MED,55,75,,,G
ABR,17/35,2,5500,100,ASPH-E,MED,63,82,139,,G
ABR,13/31,2,6901,100,CONC-G,HIGH,120,195,339,,G
HON,18/36,2,5000,75,CONC-G,MED,40,55,,,G
HON,12/30,2,7201,100,CONC-G,HIGH,75,150,280,395,G
PIR,13/31,2,6900,100,ASPH-G,HIGH,91,108,168,,G
PIR,07/25,2,6880,150,ASPH-G,HIGH,91,114,180,,G
RAP,14/32,2,8701,150,CONC-G,HIGH,140,190,300,,G
RAP,05/23,2,3601,75,ASPH-G,MED,12,,,,F
FSD,15/33,4,8000,150,CONC-G,HIGH,100,180,400,,G
FSD,03/21,4,9000,150,CONC-G,HIGH,200,200,444,,G
FSD,09/27,4,3151,75,CONC-F,MED,30,,,,G
FSD,H1,4,50,50,ASPH-G,PERI,,,,,
SPF,08/26,3,4003,100,TURF-G,,,,,,
SPF,13/31,3,6401,75,ASPH-G,MED,33,45,,,G
SPF,04/22,3,1995,120,TURF-G,,,,,,
YKN,02/20,2,3380,60,ASPH-E,MED,12,,,,G
YKN,13/31,2,6094,100,CONC-E,HIGH,30,50,90,,G
TRI,09/27,2,4442,150,ASPH-F,MED,21,,,,G
TRI,05/23,2,8000,150,ASPH-G,HIGH,112,185,336,,G
CHA,02/20,2,7400,150,ASPH-G,HIGH,120,164,265,,G
CHA,15/33,2,5575,150,ASPH-G,MED,120,164,265,,G
RZR,03/21,1,6200,100,CONC-G,MED,20,50,65,115,G
M29,03/21,1,4200,75,ASPH-G,,30,,,,G
M02,17/35,1,5001,75,ASPH-G,MED,16,26,,,G
HZD,01/19,1,5507,100,ASPH-G,MED,48,66,,,G
MKL,11/29,2,3539,100,ASPH-F,MED,27,,,,F
MKL,02/20,2,6005,150,ASPH-F,HIGH,55,80,125,,F
DKX,08/26,1,3499,75,ASPH-G,MED,22,,,,G
TYS,05L/23R,2,10000,150,CONC-G,HIGH,120,239,439,961,G
TYS,05R/23L,2,9000,150,ASPH-G,HIGH,75,200,270,,G
M54,04/22,2,1801,150,TURF-G,,,,,,G
M54,01/19,2,5000,100,ASPH-G,MED,24,37,,,G
MNV,05/23,1,3643,75,ASPH-G,MED,22,35,,,G
NQA,04/22,1,8000,200,ASPH-G,HIGH,,,,,G
BNA,02C/20C,4,8001,150,CONC-G,HIGH,75,209,350,,G
BNA,02L/20R,4,7704,150,CONC-G,HIGH,100,200,390,850,G
BNA,02R/20L,4,8001,150,CONC-G,HIGH,75,209,350,,G
BNA,13/31,4,11030,150,CONC-G,HIGH,75,175,250,875,G
JWN,02/20,1,6001,100,ASPH-G,MED,35,97,,,G
PHT,02/20,1,5001,100,ASPH-G,MED,17,,,,G
ABI,17R/35L,2,7208,150,ASPH-G,HIGH,85,160,160,,G
ABI,17L/35R,2,7198,150,ASPH-G,HIGH,85,160,160,,G
AMA,04/22,2,13502,200,CONC-G,HIGH,100,200,400,,G
AMA,13/31,2,7901,150,CONC-G,HIGH,100,200,400,,G
AUS,H3,5,50,50,CONC-G,,,,,,G
AUS,H2,5,60,60,CONC-G,,,,,,G
AUS,H1,5,60,60,CONC-G,,,,,,G
AUS,18R/36L,5,12250,150,CONC-G,HIGH,75,210,618,913,G
AUS,18L/36R,5,9000,150,CONC-G,HIGH,75,210,618,913,G
BMT,13/31,1,4001,75,ASPH-E,MED,17,,,,G
BEA,12/30,2,4553,75,ASPH-G,MED,25,,,,P
BEA,18/36,2,2251,60,TURF-G,,,,,,
BPG,06/24,2,4601,75,ASPH-G,MED,,,,,G
BPG,17/35,2,8802,100,CONC-G,MED,60,150,200,,G
XBP,18/36,1,5005,75,ASPH-G,MED,30,,,,F
CDS,18/36,2,5949,75,ASPH-G,MED,21,,,,F
CDS,04/22,2,4425,60,ASPH-P,,21,,,,P
CLL,11/29,2,5158,150,ASPH-E,MED,37,49,,,G
CLL,17/35,2,7000,146,ASPH-CONC-E,HIGH,78,94,156,,G
CRP,13/31,2,7510,150,ASPH-G,HIGH,150,170,245,,G
CRP,18/36,2,6080,150,ASPH-G,HIGH,150,170,245,,G
ADS,16/34,1,7203,100,ASPH-G,HIGH,60,120,,,G
DAL,13L/31R,2,7752,150,CONC-G,HIGH,100,200,350,,G
DAL,13R/31L,2,8800,150,CONC-G,HIGH,120,250,388,875,G
LUD,17/35,1,4200,60,ASPH-G,MED,12,17,,,F
DTO,18R/36L,2,5003,75,ASPH-E,MED,30,,,,G
DTO,18L/36R,2,7002,150,ASPH-F,MED,70,100,,,G
ELP,08L/26R,3,5499,75,CONC-G,MED,60,180,,,G
ELP,04/22,3,12020,150,ASPH-CONC-F,HIGH,100,180,350,,G
ELP,08R/26L,3,9025,150,ASPH-CONC-F,HIGH,100,180,350,,G
BKS,14/32,2,3018,60,ASPH-E,,4,,,,G
BKS,17/35,2,6006,75,ASPH-G,MED,52,80,,,G
FTW,17/35,4,4005,75,ASPH-E,MED,12,50,,,G
FTW,H1,4,35,35,CONC-G,,,,,,G
FTW,H2,4,35,35,CONC-G,,,,,,F
FTW,16/34,4,7502,150,CONC-G,HIGH,80,100,190,350,G
AFW,16R/34L,2,11010,150,CONC-G,HIGH,,200,400,870,G
AFW,16L/34R,2,11000,150,CONC-G,HIGH,,200,400,870,G
T82,14/32,1,5001,75,ASPH-G,MED,30,,,,G
GTU,18/36,2,5004,100,ASPH-G,MED,30,60,,,G
GTU,11/29,2,4099,75,ASPH-F,MED,12,,,,G
GVT,17/35,1,8030,150,ASPH-G,MED,26,,,,G
DZB,17/35,1,5977,100,ASPH-G,HIGH,,100,,,G
EFD,17R/35L,3,9001,150,CONC-G,HIGH,100,190,590,800,G
EFD,17L/35R,3,4609,75,CONC-F,,24,63,145,300,G
EFD,04/22,3,8001,150,CONC-G,HIGH,100,164,300,668,G
IAH,15L/33R,5,12001,150,CONC-G,HIGH,100,200,400,800,G
IAH,08L/26R,5,9000,150,CONC-E,HIGH,75,210,409,873,G
IAH,08R/26L,5,9402,150,CONC-G,HIGH,75,210,498,873,G
IAH,09/27,5,10000,150,CONC-G,HIGH,,210,560,,G
IAH,15R/33L,5,10000,150,CONC-G,HIGH,75,200,400,873,G
TME,18/36,1,6610,100,ASPH-G,MED,,101,,,G
HOU,13R/31L,3,7602,150,ASPH-G,HIGH,75,195,220,,G
HOU,13L/31R,3,5148,100,CONC-F,MED,30,45,80,,G
HOU,04/22,3,7602,150,CONC-G,HIGH,75,200,400,,G
CXO,01/19,2,5000,100,CONC-G,MED,30,75,,,G
CXO,14/32,2,7501,150,CONC-G,HIGH,60,100,,,G
AQO,17/35,2,4202,75,ASPH-G,MED,20,,,,G
AQO,13/31,2,3209,150,TURF-G,,,,,,
GGG,13/31,2,10000,150,ASPH-G,HIGH,95,155,288,,G
GGG,18/36,2,6110,150,ASPH-G,MED,95,155,280,,G
LBB,08/26,3,8003,150,CONC-G,HIGH,100,170,350,,G
LBB,17R/35L,3,11500,150,CONC-G,HIGH,100,170,350,,G
LBB,17L/35R,3,2891,74,ASPH-F,,12,,,,G
T31,17/35,1,4352,60,ASPH-TURF-G,MED,6,,,,G
MRF,04/22,3,5309,75,ASPH-G,,18,,,,G
MRF,09/27,3,2825,60,DIRT-P,,,,,,
MRF,13/31,3,6203,75,ASPH-G,MED,18,,,,G
MAF,04/22,4,4605,75,ASPH-G,MED,30,60,,,G
MAF,10/28,4,8302,150,ASPH-G,HIGH,160,200,350,700,G
MAF,16L/34R,4,4247,100,ASPH-G,MED,30,60,,,G
MAF,16R/34L,4,9501,150,ASPH-G,HIGH,160,200,350,700,G
MWL,17/35,2,4188,100,ASPH-G,MED,50,145,,,F
MWL,13/31,2,5996,100,ASPH-G,MED,50,145,,,F
ODO,02/20,3,5703,75,ASPH-G,MED,14,,,,G
ODO,11/29,3,6200,100,ASPH-G,MED,30,,,,G
ODO,16/34,3,5003,75,ASPH-E,MED,14,,,,G
SJT,03/21,3,5940,150,ASPH-G,HIGH,70,100,,,G
SJT,18/36,3,8054,150,ASPH-G,MED,70,100,,,G
SJT,09/27,3,4406,75,ASPH-F,MED,70,100,,,G
SSF,09/27,2,5000,100,ASPH-G,MED,30,75,,,G
SSF,14/32,2,4128,100,ASPH-G,MED,12,20,,,G
SAT,04/22,3,8505,150,CONC-G,HIGH,95,190,270,,G
SAT,13R/31L,3,8502,150,CONC-G,HIGH,95,190,270,,G
SAT,13L/31R,3,5519,100,ASPH-F,MED,59,120,,,G
GNC,08/26,2,5381,75,ASPH-F,MED,12,,,,P
GNC,17/35,2,5002,75,ASPH-G,MED,12,,,,F
SWI,16/34,1,4000,75,ASPH-F,MED,19,,,,G
TRL,18/36,1,5006,75,ASPH-G,MED,30,,,,G
UVA,15/33,1,5256,100,ASPH-G,MED,30,40,40,,G
F05,02/20,2,5099,100,ASPH-E,MED,30,40,60,,G
F05,16/34,2,4304,80,ASPH-F,MED,10,,,,G
VCT,18/36,3,4908,75,ASPH-G,MED,28,49,87,,F
VCT,H1,3,60,60,ASPH-G,,,,,,P
VCT,13/31,3,9111,150,ASPH-G,HIGH,28,49,87,,G
ACT,01/19,2,7107,150,ASPH-G,HIGH,50,82,,,G
ACT,14/32,2,5103,150,ASPH-G,MED,50,82,,,F
SPS,15R/33L,4,13101,300,CONC,HIGH,,,,,G
SPS,15L/33R,4,6000,150,ASPH-CONC,HIGH,,,,,G
SPS,18/36,4,7021,150,ASPH,HIGH,,,,,G
SPS,15C/33C,4,10003,150,ASPH-CONC,HIGH,,,,,G
BTF,17/35,1,4634,70,ASPH-E,LOW,12,,,,G
CDC,02/20,2,8653,150,ASPH-G,HIGH,56,76,127,142,G
CDC,08/26,2,4822,60,ASPH-F,MED,16,,,,G
DPG,12/30,1,10999,150,ASPH,HIGH,,,,,
CNY,03/21,2,7360,100,ASPH-G,MED,,85,,,G
CNY,15/33,2,2121,60,GRAVEL-G,,,,,,G
HIF,14/32,1,13500,200,PEM-G,HIGH,,,,,G
OGD,03/21,2,8107,150,ASPH-E,HIGH,85,150,,,G
OGD,17/35,2,5195,100,ASPH-G,MED,80,140,,,G
PUC,08/26,3,3151,75,ASPH-G,,12,,,,G
PUC,01/19,3,8316,100,ASPH-G,HIGH,30,40,,,G
PUC,15/33,3,4513,75,ASPH-F,MED,13,,,,F
PVU,18/36,2,6628,150,ASPH-G,MED,50,70,110,,G
PVU,13/31,2,8603,150,ASPH-G,HIGH,65,85,140,,G
RIF,01/19,1,7100,100,ASPH-F,MED,45,75,,,F
SGU,01/19,1,9300,150,ASPH-G,HIGH,75,150,,,G
U42,16/34,1,5862,100,ASPH-G,MED,30,43,,,G
SLC,HF,6,60,60,ASPH-G,,,,,,
SLC,14/32,6,4893,150,ASPH-G,HIGH,60,200,350,850,G
SLC,16L/34R,6,12002,150,ASPH-G,HIGH,60,200,350,850,G
SLC,16R/34L,6,12000,150,CONC-G,HIGH,60,200,350,850,G
SLC,17/35,6,9596,150,ASPH-G,HIGH,60,200,350,850,G
SLC,HB,6,60,60,ASPH-G,,,,,,
VEL,17/35,1,7000,100,ASPH-E,MED,45,55,,,G
ENV,08/26,2,10002,150,ASPH-G,MED,75,140,208,,G
ENV,12/30,2,8002,100,ASPH-F,MED,75,140,180,,G
RMN,15/33,1,5000,100,ASPH-G,HIGH,30,70,,,G
HSP,07/25,1,5600,100,ASPH-F,HIGH,65,160,,,G
JYO,17/35,1,5500,100,ASPH-G,HIGH,30,70,,,G
JFZ,07/25,1,4299,75,ASPH-G,MED,12,18,,,F
RIC,16/34,2,9003,150,ASPH-G,HIGH,125,200,340,,G
RIC,02/20,2,6607,150,ASPH-E,HIGH,125,200,340,,G
ROA,16/34,2,5810,150,ASPH-G,HIGH,150,200,310,,G
ROA,06/24,2,6800,150,ASPH-G,HIGH,150,200,310,,G
74S,18/36,1,3018,60,ASPH-G,MED,12,,,,G
AWO,16/34,2,5332,100,ASPH-G,MED,114,150,270,,G
AWO,11/29,2,3498,75,ASPH-E,,32,34,59,,G
BLI,16/34,1,6700,150,ASPH-G,HIGH,75,160,250,,G
S97,07/25,1,4000,60,ASPH-G,MED,15,,,,G
BVS,11/29,2,5480,100,ASPH-E,MED,60,75,125,,G
BVS,04/22,2,3000,60,ASPH-P,LOW,12,,,,P
DEW,16/34,2,6101,75,ASPH-G,MED,30,50,,,F
DEW,05/23,2,3200,60,ASPH-G,,12,,,,F
PAE,16L/34R,2,3004,75,ASPH-G,MED,12,,,,G
PAE,16R/34L,2,9010,150,ASPH-CONC-G,HIGH,100,200,350,830,G
FHR,16/34,1,3402,75,ASPH-G,MED,12,,,,G
MWH,18/36,5,3327,75,ASPH-G,MED,75,170,300,400,G
MWH,14R/32L,5,2936,75,CONC-G,,100,200,400,400,G
MWH,04/22,5,10000,100,CONC-G,MED,75,100,175,475,G
MWH,09/27,5,3500,90,CONC-G,NSTD,100,150,270,475,
MWH,14L/32R,5,13503,200,CONC-G,HIGH,85,155,320,600,G
OLM,08/26,2,4157,150,ASPH-G,,30,,,,G
OLM,17/35,2,5500,150,ASPH-G,HIGH,75,94,142,,P
PSC,03R/21L,3,4423,75,ASPH-F,,52,85,108,150,G
PSC,12/30,3,7704,150,ASPH-G,MED,150,200,400,,G
PSC,03L/21R,3,7707,150,ASPH-G,HIGH,150,200,400,,G
CLM,13/31,2,3255,50,ASPH-F,,30,,,,G
CLM,08/26,2,6347,150,ASPH-G,MED,55,66,115,,F
PUW,05/23,1,7100,150,ASPH-G,HIGH,120,239,385,,G
RNT,16/34,1,5382,200,ASPH-CONC-G,MED,100,130,340,,G
BFI,14L/32R,2,3709,100,ASPH-F,MED,120,250,550,1109,G
BFI,14R/32L,2,10007,200,ASPH-G,HIGH,100,200,500,800,G
GEG,08/26,2,8199,150,ASPH-G,MED,150,180,280,,G
GEG,03/21,2,11002,150,ASPH-CONC-E,HIGH,200,200,400,,G
SFF,03W/21W,3,6000,100,WATER,,,,,,
SFF,04L/22R,3,4499,140,CONC-G,MED,30,,,,G
SFF,04R/22L,3,2650,75,ASPH-F,,30,,,,G
TCM,16/34,2,10108,150,ASPH-CONC,HIGH,,,,,G
TCM,162/342,2,3000,60,ASPH,,,,,,
TIW,17/35,1,5002,100,ASPH-G,MED,50,80,80,150,G
VUO,08/26,1,3275,60,ASPH-G,MED,,,,,G
ALW,02/20,1,6527,150,CONC-G,HIGH,60,80,130,,G
EAT,12/30,1,7000,150,ASPH-G,HIGH,116,192,,,G
S52,13/31,1,5049,75,ASPH-E,MED,30,,,,G
YKM,09/27,2,7604,150,ASPH-E,HIGH,95,160,220,550,G
YKM,04/22,2,3835,150,ASPH-P,MED,70,80,120,,G
MRB,08/26,1,8815,150,ASPH-CONC-G,HIGH,120,195,339,830,G
I18,04/22,1,4000,75,ASPH-E,MED,12,,,,G
ATW,03/21,2,8003,150,CONC-G,HIGH,75,160,320,,G
ATW,12/30,2,6502,150,CONC-G,HIGH,75,160,320,,G
GRB,06/24,2,7700,150,CONC-G,HIGH,90,160,260,,G
GRB,18/36,2,8700,150,CONC-G,HIGH,95,165,275,,G
ENW,15/33,3,4440,100,CONC-G,HIGH,62,73,135,,G
ENW,07R/25L,3,3302,75,ASPH-CONC-F,MED,40,48,,,G
ENW,07L/25R,3,6600,100,CONC-E,HIGH,62,73,135,,G
LSE,04/22,3,5199,150,ASPH-F,HIGH,65,110,190,,F
LSE,13/31,3,6050,150,ASPH-G,MED,125,190,430,,G
LSE,18/36,3,8742,150,CONC-G,HIGH,125,190,430,850,G
MWC,15R/33L,4,3231,270,TURF-G,,,,,,
MWC,15L/33R,4,4103,75,ASPH-E,MED,30,,,,G
MWC,04L/22R,4,3201,75,ASPH-E,MED,30,,,,G
MWC,04R/22L,4,2839,270,TURF-G,,,,,,
C35,07/25,2,2510,50,ASPH-G,MED,30,,,,G
C35,18/36,2,4840,75,ASPH-F,MED,30,,,,G
SUE,02/20,2,4599,75,ASPH-F,MED,16,22,,,F
SUE,10/28,2,3199,75,ASPH-E,MED,16,22,,,G
Y51,02/20,2,2424,90,TURF-G,,,,,,
Y51,11/29,2,4000,60,ASPH-E,MED,12,,,,G
46U,13/31,1,5827,70,ASPH-G,MED,50,,,,G
CPR,03/21,2,10165,150,ASPH-G,HIGH,130,170,270,,G
CPR,08/26,2,8679,150,ASPH-F,HIGH,85,140,260,,G
CYS,09/27,2,9270,150,CONC-F,HIGH,75,140,150,250,G
CYS,13/31,2,6690,150,ASPH-G,MED,75,120,150,200,G
COD,04/22,1,8268,100,ASPH-G,HIGH,95,124,193,,G
EVW,05/23,1,7300,100,ASPH-G,HIGH,30,70,,,G
GCC,16/34,2,7501,150,CONC-G,HIGH,70,110,160,,G
GCC,03/21,2,5804,75,CONC-G,MED,40,60,,,G
GEY,08/26,2,3953,75,ASPH-G,,12,,,,G
GEY,16/34,2,7003,150,ASPH-G,MED,85,150,290,,G
JAC,01/19,1,6300,150,ASPH-E,HIGH,120,187,287,,G
LND,04/22,1,5000,75,ASPH-E,MED,30,,,,G
LAR,12/30,2,6300,100,ASPH-G,MED,86,105,160,,G
LAR,03/21,2,8502,150,ASPH-G,MED,86,105,160,,G
RKS,03/21,2,5228,75,ASPH-G,MED,59,88,159,,G
RKS,09/27,2,10000,150,ASPH-G,HIGH,55,240,503,,G
SAA,05/23,1,8801,100,ASPH-G,MED,50,,,,G
SHR,15/33,2,8301,100,ASPH-E,HIGH,60,75,,,G
SHR,06/24,2,5039,75,ASPH-G,MED,36,50,,,G
ADK,05/23,1,7790,200,ASPH-G,HIGH,80,145,325,770,G
7AK,09/27,1,4500,75,ASPH,MED,120,250,,,F
6A8,05/23,1,4000,100,GRAVEL-G,MED,,,,,
ANC,07R/25L,3,12400,200,ASPH-CONC-G,HIGH,75,175,400,1300,G
ANC,07L/25R,3,10600,150,ASPH-G,HIGH,75,175,400,900,G
ANC,15/33,3,10865,200,ASPH-G,HIGH,75,175,400,900,G
MRI,05/23,3,2000,60,ASPH-GRVL-G,,,,,,G
MRI,07/25,3,4000,100,ASPH-G,MED,50,80,,,G
MRI,16/34,3,2640,75,ASPH-F,MED,20,,,,F
EDF,16/34,2,7493,150,ASPH,HIGH,,,,,G
EDF,06/24,2,10000,200,ASPH,HIGH,,,,,G
BRW,08/26,1,7100,150,ASPH-F,HIGH,75,160,300,,G
BET,12/30,3,1858,75,GRVL-G,HIGH,,,,,
BET,01L/19R,3,6400,150,ASPH-F,HIGH,105,147,244,,F
BET,01R/19L,3,4000,75,ASPH-G,HIGH,,,,,G
BGQ,07/25,1,2450,70,GRAVEL-G,MED,,,,,G
9A3,09/27,1,3401,60,GRVL-DIRT-G,MED,,,,,
CDB,08/26,2,4900,150,ASPH-G,HIGH,99,131,345,,G
CDB,15/33,2,10179,150,ASPH-G,HIGH,99,200,345,875,G
CDV,09/27,2,7500,150,ASPH-G,HIGH,90,153,280,,G
CDV,16/34,2,1934,30,GRVL-F,,,,,,P
AK15,03/21,1,5005,100,GRVL,MED,,,,,
BIG,07/25,3,4057,88,ASPH-G,MED,,,,,G
BIG,01/19,3,9000,150,ASPH-G,HIGH,,,,,G
BIG,10/28,3,6115,150,ASPH-G,HIGH,,,,,G
DLG,01/19,1,6400,150,ASPH-G,HIGH,116,186,300,726,G
FBK,H6,6,50,50,ASPH-CONC-G,,,,,,
FBK,07/25,6,8575,150,ASPH-CONC,HIGH,,38,,,G
FBK,H1,6,50,50,ASPH-CONC-G,,,,,,
FBK,H4,6,50,50,ASPH-CONC-G,,,,,,
FBK,H5,6,50,50,ASPH-CONC-G,,,,,,
FBK,H7,6,50,50,ASPH-CONC-G,,,,,,
FAI,02W/20W,4,5400,100,WATER,,,,,,G
FAI,02/20,4,2900,75,GRVL,,,,,,
FAI,02L/20R,4,11800,150,ASPH-G,HIGH,75,220,580,1100,G
FAI,02R/20L,4,4510,75,ASPH-G,MED,,,,,G
FYU,04/22,1,5000,100,GRVL-DIRT-G,MED,,,,,G
GAL,06/24,2,2600,50,GRAVEL-G,,,,,,F
GAL,08/26,2,6000,100,ASPH-F,MED,110,144,240,,F
GKN,15L/33R,2,5001,100,ASPH-G,MED,,,,,G
GKN,15R/33L,2,2300,60,GRVL-G,,,,,,G
GST,11/29,2,6720,150,ASPH-G,MED,60,100,,,G
GST,02/20,2,3010,60,ASPH-G,,40,,,,G
HNS,08/26,1,4000,100,ASPH-G,MED,,,,,G
HOM,06W/24W,2,2501,100,WATER,,,,,,
HOM,04/22,2,6701,150,ASPH-P,HIGH,62,70,189,,P
HPB,14/32,1,3300,75,GRVL-DIRT-F,MED,,,,,G
HLA,03/21,1,4000,75,GRAVEL-G,MED,,,,,
JNU,08W/26W,2,4800,150,WATER,,,,,,
JNU,08/26,2,8857,150,ASPH-G,HIGH,120,250,550,,F
ENA,02W/20W,3,4600,240,WATER-G,,,,,,G
ENA,02L/20R,3,7855,150,ASPH-G,HIGH,75,150,250,,F
ENA,02R/20L,3,1980,75,GRVL-G,,,,,,
KTN,11/29,2,7500,150,ASPH-G,HIGH,75,200,300,,G
KTN,WNW/ESE,2,9500,1500,WATER,,,,,,
KVC,08/26,1,3500,115,GRVL-G,MED,,,,,F
ADQ,01/19,3,5010,150,ASPH-G,HIGH,53,110,150,,G
ADQ,08/26,3,7534,150,ASPH-G,HIGH,53,110,150,,G
ADQ,11/29,3,5400,150,ASPH-G,HIGH,53,110,150,,F
UBW,06/24,1,6551,150,ASPH-G,HIGH,,,,,F
MCG,16/34,2,5936,100,ASPH-G,MED,32,80,120,,G
MCG,05/23,2,2000,60,GRAVEL-G,MED,,,,,
MLY,18/36,1,3400,60,GRAVEL-G,MED,,,,,
ENN,04L/22R,3,4600,100,ASPH-G,MED,160,,,,G
ENN,04R/22L,3,1980,80,TURF-G,MED,,,,,F
ENN,04W/22W,3,3601,100,WATER,,,,,,G
OME,10/28,2,6009,150,ASPH-G,HIGH,150,150,320,,G
OME,03/21,2,6176,150,ASPH-G,MED,,150,,,G
NUL,03/21,1,4011,100,GRAVEL-G,MED,,,,,
PAQ,16/34,4,6006,100,ASPH-G,MED,180,,,,F
PAQ,16S/34S,4,1560,60,GRVL-G,,,,,,
PAQ,H1,4,50,50,ASPH-F,,,,,,
PAQ,10/28,4,3616,75,ASPH-G,MED,,,,,F
PSG,05/23,1,6400,150,ASPH-G,HIGH,75,160,,,F
PBV,11/29,1,4982,150,ASPH-G,HIGH,,,,,F
SNP,18/36,1,6500,150,ASPH-G,HIGH,,,,,G
SDP,14/32,1,5213,150,ASPH-G,MED,120,250,,,G
SIT,11/29,1,7200,150,ASPH-G,HIGH,100,160,300,,F
SXQ,07/25,2,5001,130,ASPH-F,MED,12,,,,G
SXQ,07S/25S,2,2300,60,GRVL-DIRT-F,,,,,,P
TAL,07/25,1,4400,100,GRAVEL-G,MED,,,,,
6K8,07/25,1,2509,50,ASPH-G,MED,,,,,G
DUT,13/31,1,4500,100,ASPH-F,MED,60,,210,,G
VDZ,06/24,1,6500,150,ASPH-G,HIGH,75,200,300,,F
WRG,10/28,1,6000,150,ASPH-G,HIGH,75,175,175,,G
YAK,11/29,2,7732,150,ASPH-G,HIGH,38,107,200,,F
YAK,02/20,2,6475,150,CONC-G,HIGH,38,107,200,,G
ITO,08/26,2,9800,150,ASPH-G,HIGH,75,250,350,850,G
ITO,03/21,2,5600,150,ASPH-F,MED,75,80,140,410,F
HNL,04L/22R,6,6955,150,ASPH-F,HIGH,100,200,400,850,G
HNL,04R/22L,6,9002,150,ASPH-E,HIGH,100,200,400,850,F
HNL,04W/22W,6,3000,150,WATER,,,,,,
HNL,08L/26R,6,12312,150,ASPH-F,HIGH,100,200,400,780,F
HNL,08R/26L,6,12000,200,ASPH-E,HIGH,80,170,400,780,G
HNL,08W/26W,6,5090,300,WATER,,,,,,
OGG,05/23,3,4980,150,ASPH-G,MED,130,170,270,,G
OGG,02/20,3,6998,150,ASPH-G,HIGH,130,170,360,750,G
OGG,H1,3,125,125,ASPH-G,,,,,,
CYXX,07/25,2,9597,200,ASPH-CONC,HIGH,,,,,
CYXX,01/19,2,5328,200,ASPH,MED,,,,,
CZBB,07/25,2,5606,100,ASPH,MED,,,,,
CZBB,12/30,2,3750,100,ASPH,MED,,,,,
CYCD,16/34,1,6602,150,ASPH,HIGH,,,,,
CYYF,16/34,1,6000,148,ASPH,,,,,,
CYSU,06/24,1,8000,200,ASPH,,,,,,
CYQT,07/25,2,6200,200,ASPH,,,,,,
CYQT,12/30,2,5300,200,ASPH,,,,,,
CYVR,08L/26R,3,9940,200,CONC,HIGH,,,,,
CYVR,08R/26L,3,11500,200,ASPH-CONC,HIGH,,,,,
CYVR,12/30,3,7300,200,ASPH-CONC,MED,,,,,
CYYJ,03/21,3,5026,200,ASPH,MED,,,,,
CYYJ,09/27,3,6998,200,ASPH,HIGH,,,,,
CYYJ,13/31,3,5001,200,ASPH,MED,,,,,
CYXY,01/19,3,1798,75,ASPH,,,,,,
CYXY,13L/31R,3,4018,80,ASPH,,,,,,
CYXY,13R/31L,3,9500,150,ASPH,HIGH,,,,,
MYAF,09/27,1,4362,100,ASPH,MED,,,,,
MYAM,09/27,1,6100,100,ASPH,MED,,,,,
