Dep_Airport_ID,Schedules
ADK,ALL/SAT-WED/0800-1600
7AK,ALL/ALL/0700-1900
6A8,UNATNDD
ANC,ALL/ALL/ALL
MRI,ALL/MON-FRI/0730-1700
EDF,ALL/ALL/ALL
BRW,ALL/ALL/0600-2030
BET,MAR-OCT/MON-FRI/0630-2200
BET,NOV-APR/SAT-SUN/0700-2100
BET,NOV-APR/MON-FRI/0500-2100
BET,MAR-OCT/SAT-SUN/0700-2200
BGQ,UNATNDD
9A3,UNATNDD
CDB,"ALL/MON - SAT/0700 - 1800"
CDV,ALL/MON-FRI/0600-1630
CDV,ALL/SAT-SUN/0600-1630
BIG,ALL/MON-FRI/1715-0100Z++
DLG,ALL/ALL/0700-1730
FBK,ALL/MON-FRI/1700-0800++
FAI,ALL/ALL/ALL
FYU,UNATNDD
GAL,OCT-APR/MON-FRI/0600-1700
GKN,JUN-SEP/MON-FRI/0900-1700
GKN,OCT-MAY/MON-FRI/1000-1500
GST,"15 MAY-1 SEP/TUE-THU/0600-1800"
GST,"1 SEP-15 MAY/ALL/0600-1430"
GST,"15 MAY-1SEP/FRI-MON/0930-1800"
HNS,UNATNDD
HOM,NOV-MAR/ALL/0400-2100
HOM,APR-OCT/ALL/0600-2100
HPB,UNATNDD
HLA,UNATNDD
JNU,ALL/ALL/ALL
ENA,ALL/MON-FRI/0800-1700
KTN,ALL/ALL/0600-2130
KVC,UNATNDD
ADQ,"SAME AS ARPT MAINT HRS"
MCG,MAY-SEPT/MON-WED/0700-1730
MCG,"OCT-APR/MON-FRI/0800 - 1630"
MCG,MAY-SEPT/THURS/0700-1500
MLY,UNATNDD
ENN,UNATTND
OME,ALL/ALL/0700-2100
NUL,UNATNDD
PAQ,ALL/M-F/0800-1700
PSG,OCT-MAR/ALL/0500-1600
PSG,APR-SEP/MON-FRI/0600-1630
PSG,APR-SEP/SAT-SUN/0830-1630
PBV,UNATNDD
SNP,UNATNDD
SDP,"JAN - DEC/MON - SAT/0800-1600"
SIT,ALL/ALL/
SXQ,ALL/ALL/0700-1600
TAL,UNATNDD
6K8,ALL/MON-FRI/0800-1800
DUT,ALL/ALL/0800-1630
