Dep_Airport_ID,ARP_Latitude,ARP_Longitude,Facility_Type,Wind_Indicator,Runway_ID,Num_of_Runways,Length,Width,Surface_Type_Condition,Edge_Light_Intensity,WBC_Single,WBC_Dual,WBC_Two_Dual,WBC_Tandem_Two_Dual,Base_Marking_Condition
LGB,033-49-04.5500N,118-09-06.8100W,AIRPORT,Y-L,12/30,7,10000,200,ASPH-G,HIGH,30,200,300,,G
LGB,033-49-04.5500N,118-09-06.8100W,AIRPORT,Y-L,08R/26L,7,3918,100,ASPH-G,HIGH,30,75,,,G
LGB,033-49-04.5500N,118-09-06.8100W,AIRPORT,Y-L,08L/26R,7,6192,150,ASPH-E,MED,30,70,110,,G
WHP,034-15-33.5700N,118-24-48.3600W,AIRPORT,Y-L,12/30,1,4120,75,ASPH-G,MED,12,,,,G
LAX,033-56-32.9900N,118-24-28.9700W,AIRPORT,Y-L,07L/25R,4,12923,150,CONC-G,HIGH,175,225,400,900,G
LAX,033-56-32.9900N,118-24-28.9700W,AIRPORT,Y-L,06R/24L,4,10885,150,CONC-G,HIGH,175,225,400,900,G
LAX,033-56-32.9900N,118-24-28.9700W,AIRPORT,Y-L,06L/24R,4,8926,150,ASPH-CONC-G,HIGH,175,225,400,900,G
LAX,033-56-32.9900N,118-24-28.9700W,AIRPORT,Y-L,07R/25L,4,11095,200,ASPH-CONC-G,HIGH,175,225,400,900,G
MER,037-22-49.7400N,120-34-05.4700W,AIRPORT,Y-L,13/31,1,11802,150,ASPH-CONC-G,HIGH,155,200,415,720,G
MCE,037-17-05.1000N,120-30-50.1000W,AIRPORT,Y-L,12/30,1,5914,150,ASPH-G,HIGH,30,100,155,,G
MOD,037-37-32.9700N,120-57-15.9500W,AIRPORT,Y-L,10L/28R,2,5904,150,ASPH-G,HIGH,60,200,400,,G
MOD,037-37-32.9700N,120-57-15.9500W,AIRPORT,Y-L,10R/28L,2,3464,100,ASPH-G,MED,30,,,,G
SIY,041-46-53.2000N,122-28-05.2000W,AIRPORT,Y-L,17/35,1,7490,150,ASPH-G,MED,60,180,270,,G
MRY,036-35-13.0300N,121-50-34.0200W,AIRPORT,Y-L,10L/28R,2,3503,60,ASPH-F,MED,12,,,,G
MRY,036-35-13.0300N,121-50-34.0200W,AIRPORT,Y-L,10R/28L,2,7175,150,ASPH-G,HIGH,100,160,300,,G
APC,038-12-47.4800N,122-16-50.4700W,AIRPORT,Y-L,01R/19L,3,2510,75,ASPH-G,,13,,,,G
APC,038-12-47.4800N,122-16-50.4700W,AIRPORT,Y-L,01L/19R,3,5930,150,ASPH-G,MED,102,134,120,,G
