Loc Id,Facility Type,Wind Indicator,Runway Id,Length,Width,Surface Type Condition,Edge Light Intensity,WBC Single,WBC Dual,WBC Two Dual,WBC Tandem Two Dual,Base Marking Condition,Schedule,Schedule,,
PBV,AIRPORT,Y-L,11/29,4982,150,ASPH-G,HIGH,,,,,F,UNATNDD,UNATNDD,,
SNP,AIRPORT,Y,18/36,6500,150,ASPH-G,HIGH,,,,,G,UNATNDD,UNATNDD,,
ANC,AIRPORT,Y-L,07R/25L,12400,200,ASPH-CONC-G,HIGH,75,175,400,1300,G,ALL/ALL/ALL,ALL,ALL,ALL
ANC,AIRPORT,Y-L,07L/25R,10600,150,ASPH-G,HIGH,75,175,400,900,G,ALL/ALL/ALL,ALL,ALL,ALL
ANC,AIRPORT,Y-L,15/33,10865,200,ASPH-G,HIGH,75,175,400,900,G,ALL/ALL/ALL,ALL,ALL,ALL
6K8,AIRPORT,Y-L,07/25,2509,50,ASPH-G,MED,,,,,G,ALL/MON-FRI/0800-1800,ALL,MON-FRI,0800-1800
UBW,AIRPORT,Y-L,06/24,6551,150,ASPH-G,HIGH,,,,,F,,,,
DUT,AIRPORT,Y-L,13/31,4500,100,ASPH-F,MED,60,,210,,G,ALL/ALL/0800-1630,ALL,ALL,0800-1630
VDZ,AIRPORT,Y-L,06/24,6500,150,ASPH-G,HIGH,75,200,300,,F,JAN-DEC/SAT & SUN/0800-1830,JAN-DEC,SAT & SUN,0800-1830
VDZ,AIRPORT,Y-L,06/24,6500,150,ASPH-G,HIGH,75,200,300,,F,JAN-DEC/MON - FRI/0600-1830,JAN-DEC,MON - FRI,0600-1830
PAQ,AIRPORT,Y,16/34,6006,100,ASPH-G,MED,180,,,,F,ALL/M-F/0800-1700,ALL,M-F,0800-1700
PAQ,AIRPORT,Y,16S/34S,1560,60,GRVL-G,,,,,,,ALL/M-F/0800-1700,ALL,M-F,0800-1700
PAQ,AIRPORT,Y,H1,50,50,ASPH-F,,,,,,,ALL/M-F/0800-1700,ALL,M-F,0800-1700
PAQ,AIRPORT,Y,10/28,3616,75,ASPH-G,MED,,,,,F,ALL/M-F/0800-1700,ALL,M-F,0800-1700
BRW,AIRPORT,Y-L,08/26,7100,150,ASPH-F,HIGH,75,160,300,,G,ALL/ALL/0600-2030,ALL,ALL,0600-2030
WRG,AIRPORT,Y-L,10/28,6000,150,ASPH-G,HIGH,75,175,175,,G,ALL/ALL/0600-1700,ALL,ALL,0600-1700
YAK,AIRPORT,Y-L,11/29,7732,150,ASPH-G,HIGH,38,107,200,,F,ALL/ALL/1430Z-0130Z,ALL,ALL,1430Z-0130Z
YAK,AIRPORT,Y-L,02/20,6475,150,CONC-G,HIGH,38,107,200,,G,ALL/ALL/1430Z-0130Z,ALL,ALL,1430Z-0130Z
BHM,AIRPORT,Y-L,06/24,12007,150,ASPH-G,HIGH,175,205,350,,F,ALL/ALL/ALL,ALL,ALL,ALL
BHM,AIRPORT,Y-L,18/36,7099,150,ASPH-G,MED,75,170,240,,G,ALL/ALL/ALL,ALL,ALL,ALL
DHN,AIRPORT,Y-L,18/36,5498,100,ASPH-F,HIGH,75,105,190,,G,ALL/ALL/ALL,ALL,ALL,ALL
DHN,AIRPORT,Y-L,14/32,8499,150,ASPH-E,HIGH,75,105,190,,G,ALL/ALL/ALL,ALL,ALL,ALL
EDN,AIRPORT,Y-L,05/23,5080,100,ASPH-G,MED,,,,,F,ALL/MONDAY - FRIDAY/0700 - 1700,ALL,MONDAY - FRIDAY,0700 - 1700
EDN,AIRPORT,Y-L,05/23,5080,100,ASPH-G,MED,,,,,F,ALL/SATURDAY/0800 - 1700,ALL,SATURDAY,0800 - 1700
EDN,AIRPORT,Y-L,05/23,5080,100,ASPH-G,MED,,,,,F,ALL/SUNDAY/UNATNDD,ALL,SUNDAY,UNATNDD
BFM,AIRPORT,Y-L,18/36,7800,150,ASPH-CONC-F,MED,76,150,320,,G,ALL/ALL/0700-2300,ALL,ALL,0700-2300
BFM,AIRPORT,Y-L,14/32,9618,150,ASPH-CONC-G,HIGH,75,185,325,,G,ALL/ALL/0700-2300,ALL,ALL,0700-2300
EET,AIRPORT,Y-L,16/34,5000,75,ASPH-F,MED,16,,,,G,ALL/ALL/0700-1900,ALL,ALL,0700-1900
LIT,AIRPORT,Y-L,04R/22L,8251,150,CONC-G,HIGH,75,200,350,,G,ALL/ALL/ALL,ALL,ALL,ALL
LIT,AIRPORT,Y-L,04L/22R,8273,150,CONC-G,HIGH,75,200,350,,G,ALL/ALL/ALL,ALL,ALL,ALL
LIT,AIRPORT,Y-L,18/36,6224,150,CONC-G,MED,75,100,135,,G,ALL/ALL/ALL,ALL,ALL,ALL
FYV,AIRPORT,Y-L,16/34,6005,100,ASPH-G,MED,90,150,175,,G,ALL/SAT-SUN/0800-2000,ALL,SAT-SUN,0800-2000
FYV,AIRPORT,Y-L,16/34,6005,100,ASPH-G,MED,90,150,175,,G,ALL/MON-FRI/0600-2200,ALL,MON-FRI,0600-2200
FSM,AIRPORT,Y-L,02/20,5001,150,ASPH-G,MED,55,70,120,,G,ALL/ALL/ALL,ALL,ALL,ALL
FSM,AIRPORT,Y-L,08/26,8017,150,ASPH-G,HIGH,75,175,295,,G,ALL/ALL/ALL,ALL,ALL,ALL
JBR,AIRPORT,Y-L,05/23,6200,150,ASPH-G,MED,40,48,76,,P,ALL/ALL/0600-2100,ALL,ALL,0600-2100
JBR,AIRPORT,Y-L,13/31,4099,150,ASPH-G,MED,50,60,95,,F,ALL/ALL/0600-2100,ALL,ALL,0600-2100
HOT,AIRPORT,Y-L,05/23,6595,150,ASPH-G,HIGH,75,125,210,400,G,ALL/ALL/0500-2200,ALL,ALL,0500-2200
HOT,AIRPORT,Y-L,13/31,4098,100,ASPH-G,MED,28,36,63,,G,ALL/ALL/0500-2200,ALL,ALL,0500-2200
SGT,AIRPORT,Y,09/27,5002,150,CONC-G,MED,25,65,120,,F,FEB-OCT/MON-FRI/0800-1600,FEB-OCT,MON-FRI,0800-1600
SGT,AIRPORT,Y,09/27,5002,150,CONC-G,MED,25,65,120,,F,NOV-JAN/ALL/0800-2000,NOV-JAN,ALL,0800-2000
SGT,AIRPORT,Y,18/36,6015,100,ASPH-G,MED,75,150,200,300,G,FEB-OCT/MON-FRI/0800-1600,FEB-OCT,MON-FRI,0800-1600
SGT,AIRPORT,Y,18/36,6015,100,ASPH-G,MED,75,150,200,300,G,NOV-JAN/ALL/0800-2000,NOV-JAN,ALL,0800-2000
TXK,AIRPORT,Y-L,04/22,6601,150,ASPH-G,HIGH,50,86,120,,G,ALL/ALL/0600-2200,ALL,ALL,0600-2200
TXK,AIRPORT,Y-L,13/31,5200,100,ASPH-G,MED,25,,,,G,ALL/ALL/0600-2200,ALL,ALL,0600-2200
P20,AIRPORT,Y-L,01/19,6250,100,ASPH-G,MED,30,50,,,P,ALL/ALL/0800-1700,ALL,ALL,0800-1700
P52,AIRPORT,Y-L,14/32,4250,75,ASPH-G,MED,4,,,,G,ALL/ALL/0800-1700,ALL,ALL,0800-1700
DMA,AIRPORT,Y,12/30,13643,200,PEM,HIGH,,,,,,,,,
FFZ,AIRPORT,Y-L,04L/22R,3799,75,ASPH-G,MED,12,,,,G,ALL/ALL/ALL,ALL,ALL,ALL
FFZ,AIRPORT,Y-L,04R/22L,5100,100,ASPH-G,MED,38,60,90,,G,ALL/ALL/ALL,ALL,ALL,ALL
FLG,AIRPORT,Y-L,03/21,8800,150,ASPH-E,HIGH,30,95,140,,G,ALL/ALL/ALL,ALL,ALL,ALL
GEU,AIRPORT,Y-L,01/19,7150,100,ASPH-G,MED,40,60,,,G,ALL/ALL/0630-1930,ALL,ALL,0630-1930
88AZ,AIRPORT,Y,17/35,3800,40,ASPH-CONC,,,,,,,,,,
IGM,AIRPORT,Y-L,17/35,6725,75,ASPH-G,MED,22,60,,,G,ALL/MON-FRI/0600-1600,ALL,MON-FRI,0600-1600
IGM,AIRPORT,Y-L,17/35,6725,75,ASPH-G,MED,22,60,,,G,ALL/SAT-SUN/0600-1400,ALL,SAT-SUN,0600-1400
IGM,AIRPORT,Y-L,03/21,6827,150,ASPH-G,MED,45,85,125,265,G,ALL/MON-FRI/0600-1600,ALL,MON-FRI,0600-1600
IGM,AIRPORT,Y-L,03/21,6827,150,ASPH-G,MED,45,85,125,265,G,ALL/SAT-SUN/0600-1400,ALL,SAT-SUN,0600-1400
HII,AIRPORT,Y-L,14/32,8000,100,ASPH-F,MED,100,,,,G,ALL/ALL/0800-1700,ALL,ALL,0800-1700
IFP,AIRPORT,Y-L,16/34,8501,150,ASPH-G,MED,75,200,400,,G,ALL/ALL/ALL,ALL,ALL,ALL
AVQ,AIRPORT,Y-L,12/30,6901,100,ASPH-G,MED,75,100,300,,G,ALL/ALL/0700-1730,ALL,ALL,0700-1730
AVQ,AIRPORT,Y-L,03/21,3892,75,ASPH-G,MED,75,100,150,,G,ALL/ALL/0700-1730,ALL,ALL,0700-1730
OLS,AIRPORT,Y-L,03/21,7200,100,ASPH-G,MED,21,,,,P,ALL/ALL/0700-1900,ALL,ALL,0700-1900
OLS,AIRPORT,Y-L,H1,97,97,CONC-G,,22,,,,,ALL/ALL/0700-1900,ALL,ALL,0700-1900
PGA,AIRPORT,Y-L,15/33,5950,150,ASPH-G,MED,65,90,190,,G,ALL/ALL/DALGT,ALL,ALL,DALGT
PGA,AIRPORT,Y-L,07/25,2201,75,ASPH-G,,,12,,,F,ALL/ALL/DALGT,ALL,ALL,DALGT
PAN,AIRPORT,Y-L,H1,50,50,CONC-G,,,,,,,ALL/MON-FRI/0700-1600,ALL,MON-FRI,0700-1600
PAN,AIRPORT,Y-L,H1,50,50,CONC-G,,,,,,,ALL/SAT-SUN/0700-1200,ALL,SAT-SUN,0700-1200
PAN,AIRPORT,Y-L,06/24,5504,75,ASPH-G,MED,40,50,100,,G,ALL/MON-FRI/0700-1600,ALL,MON-FRI,0700-1600
PAN,AIRPORT,Y-L,06/24,5504,75,ASPH-G,MED,40,50,100,,G,ALL/SAT-SUN/0700-1200,ALL,SAT-SUN,0700-1200
DVT,AIRPORT,Y-L,07R/25L,8196,100,ASPH-G,MED,20,91,255,,G,ALL/ALL/ALL,ALL,ALL,ALL
DVT,AIRPORT,Y-L,07L/25R,4500,75,ASPH-G,MED,70,117,,,G,ALL/ALL/ALL,ALL,ALL,ALL
GYR,AIRPORT,Y-L,03/21,8500,150,ASPH-G,MED,115,225,505,985,G,ALL/ALL/ALL,ALL,ALL,ALL
GYR,AIRPORT,Y-L,H1,64,64,CONC,PERI,,,,,,ALL/ALL/ALL,ALL,ALL,ALL
IWA,AIRPORT,Y,12C/30C,10201,150,ASPH-CONC-G,HIGH,55,95,185,550,G,ALL/ALL/ALL,ALL,ALL,ALL
IWA,AIRPORT,Y,12L/30R,9300,150,CONC-G,HIGH,75,210,590,850,G,ALL/ALL/ALL,ALL,ALL,ALL
IWA,AIRPORT,Y,12R/30L,10401,150,CONC-G,MED,55,95,185,550,G,ALL/ALL/ALL,ALL,ALL,ALL
PHX,AIRPORT,Y-L,07R/25L,7800,150,CONC-G,HIGH,30,200,400,1010,G,ALL/ALL/ALL,ALL,ALL,ALL
PHX,AIRPORT,Y-L,07L/25R,10300,150,CONC-G,HIGH,30,235,435,940,G,ALL/ALL/ALL,ALL,ALL,ALL
PHX,AIRPORT,Y-L,08/26,11489,150,CONC-G,HIGH,30,200,455,965,G,ALL/ALL/ALL,ALL,ALL,ALL
MZJ,AIRPORT,Y-L,12/30,6849,150,ASPH-P,MED,68,100,270,500,P,ALL/ALL/0700-1530,ALL,ALL,0700-1530
PRC,AIRPORT,Y-L,03L/21R,4846,60,ASPH-G,MED,12,,,,,ALL/ALL/0600-2200,ALL,ALL,0600-2200
PRC,AIRPORT,Y-L,03R/21L,7619,150,ASPH-G,MED,63,80,100,,G,ALL/ALL/0600-2200,ALL,ALL,0600-2200
PRC,AIRPORT,Y-L,12/30,4408,75,ASPH-G,MED,12,,,,G,ALL/ALL/0600-2200,ALL,ALL,0600-2200
RYN,AIRPORT,Y-L,06L/24R,4900,75,ASPH-G,MED,12,30,,,F,ALL/SAT/0800-1700,ALL,SAT,0800-1700
RYN,AIRPORT,Y-L,06L/24R,4900,75,ASPH-G,MED,12,30,,,F,ALL/M-F/0800-1700,ALL,M-F,0800-1700
