Dep_Airport_ID,Schedules,Runway_ID,Num_of_Runways,Length,Width,Surface_Type_Condition,Edge_Light_Intensity,WBC_Single,WBC_Dual,WBC_Two_Dual,WBC_Tandem_Two_Dual,Base_Marking_Condition
SCK,ALL/ALL/ALL,11R/29L,3,4448,75,ASPH-G,,12,,,,G
SCK,ALL/ALL/ALL,H1,3,70,70,CONC-G,,45,55,,,
TOA,ALL/ALL/0600-2200,11L/29R,3,5001,150,ASPH-CONC-F,MED,30,50,90,,F
TOA,ALL/ALL/0600-2200,11R/29L,3,3000,75,ASPH-CONC-F,MED,28,,,,F
TRK,ALL/ALL/0700-2130,02/20,2,4654,75,ASPH-G,MED,35,50,,,G
TRK,ALL/ALL/0700-2130,11/29,2,7001,100,ASPH-G,MED,50,80,,,G
UKI,MAY/SAT-SUN/0930-1930,15/33,1,4423,150,ASPH-E,MED,28,,,,G
UKI,MAY/MON-FRI/0800-1930,15/33,1,4423,150,ASPH-E,MED,28,,,,G
UKI,DEC-APR/ALL/0800-1730,15/33,1,4423,150,ASPH-E,MED,28,,,,G
UKI,NOV/ALL/0800-1800,15/33,1,4423,150,ASPH-E,MED,28,,,,G
UKI,OCT/ALL/0800-1930,15/33,1,4423,150,ASPH-E,MED,28,,,,G
UKI,SEP/SAT-SUN/0930-2000,15/33,1,4423,150,ASPH-E,MED,28,,,,G
UKI,SEP/MON-FRI/0800-2000,15/33,1,4423,150,ASPH-E,MED,28,,,,G
UKI,JUL-AUG/SAT-SUN/1000-2030,15/33,1,4423,150,ASPH-E,MED,28,,,,G
UKI,JUL-AUG/MON-FRI/0800-2030,15/33,1,4423,150,ASPH-E,MED,28,,,,G
UKI,JUN/SAT-SUN/0930-2000,15/33,1,4423,150,ASPH-E,MED,28,,,,G
UKI,JUN/MON-FRI/0800-2000,15/33,1,4423,150,ASPH-E,MED,28,,,,G
VNY,ALL/ALL/ALL,16R/34L,2,8001,150,ASPH-G,HIGH,90,120,210,,G
VNY,ALL/ALL/ALL,16L/34R,2,4013,75,ASPH-G,MED,14,,,,F
WVI,ALL/ALL/0900-1700,09/27,2,3998,98,ASPH-F,,45,65,,,F
WVI,ALL/ALL/0900-1700,02/20,2,4502,149,ASPH-E,MED,81,96,167,,G
ALS,ALL/ALL/0800-1930,02/20,1,8521,100,ASPH-G,HIGH,52,70,,,F
ASE,ALL/ALL/0700-2300,15/33,2,8006,100,ASPH-G,MED,80,100,160,,G
1V6,ALL/ALL/0800-1700,11/29,2,5399,75,ASPH-G,MED,26,26,,,F
COS,ALL/ALL/ALL,13/31,3,8270,150,ASPH-G,MED,120,171,279,691,G
COS,ALL/ALL/ALL,17L/35R,3,13500,150,CONC-G,HIGH,120,250,550,1120,G
COS,ALL/ALL/ALL,17R/35L,3,11022,150,ASPH-G,HIGH,120,250,550,1120,G
CEZ,ALL/ALL/DAWN-DUSK,03/21,1,7205,100,ASPH-G,MED,40,56,,,G
BJC,ALL/ALL/ALL,12R/30L,3,7002,75,ASPH-G,MED,47,61,,,F
BJC,ALL/ALL/ALL,12L/30R,3,9000,100,ASPH-G,HIGH,65,105,150,,F
BJC,ALL/ALL/ALL,03/21,3,3600,75,ASPH-F,MED,40,45,65,,F
APA,ALL/ALL/ALL,17R/35L,4,7001,75,ASPH-G,MED,30,,,,G
APA,ALL/ALL/ALL,10/28,4,4800,75,ASPH-G,MED,12,,,,G
APA,ALL/ALL/ALL,17L/35R,4,10001,100,ASPH-G,MED,56,75,,,G
DRO,ALL/ALL/0400-2400,03/21,1,9201,150,ASPH-G,HIGH,95,150,210,,G
EGE,DEC-MAR/ALL/0700-2300,07/25,2,9000,150,ASPH-E,HIGH,75,140,255,,G
EGE,APR-NOV/ALL/0700-1900,07/25,2,9000,150,ASPH-E,HIGH,75,140,255,,G
FNL,ALL/ALL/ALL,15/33,2,8500,100,ASPH-G,HIGH,50,65,130,,G
FMM,ALL/MON-SAT/0800-1700,14/32,3,5731,75,ASPH-G,MED,30,,,,G
