,Loc Id,ARP Latitude,ARP Longitude
472,PNE,040-04-54.9800N,075-00-38.0800W
473,PHL,039-52-19.5000N,075-14-26.3900W
474,UNV,040-51-00.0000N,077-50-51.3000W
475,AIK,033-38-57.8000N,081-41-06.1000W
476,CHS,032-53-55.1000N,080-02-25.9000W
477,JZI,032-42-03.7000N,080-00-11.7000W
478,GYH,034-45-29.9300N,082-22-35.0900W
479,GMU,034-50-52.6000N,082-21-00.0000W
480,HXD,032-13-28.1800N,080-41-50.6400W
481,CUB,033-58-13.7000N,080-59-42.9000W
482,ABR,045-26-48.4700N,098-25-20.7900W
483,SPF,044-28-51.8000N,103-47-09.6000W
484,YKN,042-55-00.0400N,097-23-09.3500W
485,HON,044-23-06.7000N,098-13-42.8000W
486,FSD,043-34-55.2700N,096-44-30.9300W
487,PIR,044-22-57.7000N,100-17-09.5000W
488,RAP,044-02-43.2000N,103-03-26.5000W
489,HZD,036-05-21.4700N,088-27-47.8800W
490,RZR,035-12-44.4100N,084-47-57.1200W
491,M02,036-07-40.6400N,087-25-47.4200W
492,M29,035-22-58.9200N,087-58-05.7600W
493,PHT,036-20-09.4000N,088-23-04.0000W
494,JWN,036-10-58.8800N,086-53-11.3800W
495,DKX,035-57-49.8000N,083-52-25.2000W
496,M54,036-11-25.4800N,086-18-56.4900W
497,CHA,035-02-06.7000N,085-12-12.8000W
498,TYS,035-48-39.9300N,083-59-38.6400W
499,MKL,035-35-59.5700N,088-54-56.2000W
500,NQA,035-21-23.9000N,089-52-13.5500W
501,MNV,035-32-42.8300N,084-22-49.4400W
502,BNA,036-07-28.1100N,086-40-41.4500W
503,TRI,036-28-30.7500N,082-24-26.7000W
504,ABI,032-24-40.8000N,099-40-54.8000W
505,ADS,032-58-06.8000N,096-50-11.2000W
506,T31,033-12-30.4200N,096-44-30.9900W
507,AUS,030-11-40.3000N,097-40-11.5500W
508,BMT,030-04-12.7400N,094-12-54.3500W
509,BEA,028-21-51.2000N,097-47-31.0000W
510,BPG,032-12-45.4000N,101-31-17.9000W
511,XBP,033-10-26.2500N,097-49-42.3400W
512,BKS,027-12-21.8000N,098-07-15.7000W
513,CDS,034-26-01.6000N,100-17-16.8000W
514,CXO,030-21-12.2200N,095-24-54.3000W
515,CRP,027-46-19.9000N,097-30-08.7000W
516,DAL,032-50-45.4000N,096-51-03.1600W
517,LUD,033-15-15.3000N,097-34-49.8000W
518,DTO,033-12-07.0600N,097-11-56.7500W
519,CLL,030-35-16.9500N,096-21-45.1600W
520,GGG,032-23-02.4000N,094-42-41.4000W
521,EFD,029-36-26.4000N,095-09-31.5000W
522,ELP,031-48-26.4000N,106-22-34.9000W
523,FTW,032-49-11.1700N,097-21-44.8200W
524,GNC,032-40-31.2000N,102-39-09.6000W
525,UVA,029-12-40.8000N,099-44-36.9000W
526,IAH,029-59-03.9700N,095-20-29.1900W
527,GTU,030-40-43.7000N,097-40-45.8000W
528,T82,030-14-35.7000N,098-54-33.1000W
529,DZB,030-31-37.3900N,098-21-31.5200W
530,TME,029-48-18.1000N,095-53-52.4000W
531,AQO,030-47-03.2000N,098-39-35.6000W
532,LBB,033-39-49.2000N,101-49-14.0000W
533,GVT,033-04-04.2000N,096-03-55.2000W
534,MRF,030-22-16.0000N,104-01-03.1000W
