Loc Id,Facility Type,Runway Id,Length,Width,Surface Type Condition,WBC Single,WBC Dual,WBC Two Dual,WBC Tandem Two Dual,Schedule
4S2,AIRPORT,07/25,1600,60,TURF,0.0,0.0,0.0,0.0,ATNDD/MON - SAT/0800 - 1700
LGD,AIRPORT,13/31,2117,60,TURF,0.0,0.0,0.0,0.0,ALL/MON-FRI/0500-2400
LKV,AIRPORT,09/27,1500,80,TURF,0.0,0.0,0.0,0.0,UNATNDD
S33,AIRPORT,H1,60,60,CONC,0.0,0.0,0.0,0.0,ALL/ALL/ALL
EUG,AIRPORT,06/24,5500,75,ASPH-E,24.0,30.0,0.0,0.0,ALL/ALL/ALL
MMV,AIRPORT,09/27,4498,150,ASPH-P,20.0,0.0,0.0,0.0,UNATNDD
SLE,AIRPORT,11/29,3662,72,TURF,0.0,0.0,0.0,0.0,UNATNDD
ONP,AIRPORT,NW/SE,2500,75,TURF,0.0,0.0,0.0,0.0,UNATNDD
ONO,AIRPORT,08/26,3400,70,TURF,0.0,0.0,0.0,0.0,ALL/MON-THUR/IREG
22S,AIRPORT,10/28,4030,60,ASPH-G,12.0,0.0,0.0,0.0,UNATNDD
HIO,AIRPORT,17/35,2600,50,TURF,0.0,0.0,0.0,0.0,UNATNDD
PDX,AIRPORT,H1,40,40,ASPH,0.0,0.0,0.0,0.0,UNATNDD
S39,AIRPORT,H1,80,80,CONC,0.0,0.0,0.0,0.0,UNATNDD
RDM,AIRPORT,03/21,4314,75,ASPH-G,30.0,0.0,0.0,0.0,ALL/SAT-SUN/0800-1700
MFR,AIRPORT,13/31,6400,100,ASPH-G,75.0,130.0,190.0,0.0,ALL/MON-FRI/0700-1700
REO,AIRPORT,07/25,4700,75,ASPH-G,16.0,20.0,0.0,0.0,UNATNDD
RBG,AIRPORT,17/35,2596,60,ASPH-G,4.0,0.0,0.0,0.0,UNATNDD
SPB,AIRPORT,H1,30,30,CONC,0.0,0.0,0.0,0.0,UNATNDD
OTH,AIRPORT,08/26,4074,115,TURF-G,0.0,0.0,0.0,0.0,ALL/ALL/DALGT
S21,AIRPORT,H11,60,60,TURF,0.0,0.0,0.0,0.0,UNATNDD
TMK,AIRPORT,09/27,2500,30,GRASS,0.0,0.0,0.0,0.0,ALL/MON-FRI/0800-1700
AGC,AIRPORT,13/31,3136,80,TURF-F,0.0,0.0,0.0,0.0,UNATNDD
CXY,AIRPORT,17/35,2600,50,ASPH-F,5.0,0.0,0.0,0.0,UNATNDD
PNE,AIRPORT,09/27,4137,60,ASPH-F,13.0,0.0,0.0,0.0,UNATNDD
PHL,AIRPORT,01/19,2764,25,ASPH-G,0.0,0.0,0.0,0.0,UNATNDD
UNV,AIRPORT,H1,44,44,CONC,0.0,0.0,0.0,0.0,ALL/ALL/ALL
AIK,AIRPORT,H1,40,40,CONC,0.0,0.0,0.0,0.0,ALL/ALL/0700-1900
CHS,AIRPORT,09/27,2600,50,TURF,0.0,0.0,0.0,0.0,UNATNDD
JZI,AIRPORT,03/21,3579,60,ASPH-E,12.0,0.0,0.0,0.0,IREG
GYH,AIRPORT,18/36,2615,150,TURF,0.0,0.0,0.0,0.0,UNATNDD
GMU,AIRPORT,H1,40,40,CONC-E,0.0,0.0,0.0,0.0,UNATNDD
HXD,AIRPORT,08/26,1500,75,TURF-G,0.0,0.0,0.0,0.0,UNATNDD
CUB,AIRPORT,17/35,1100,55,TURF,0.0,0.0,0.0,0.0,ALL/SAT-SUN/1500-2300Z++
ABR,AIRPORT,H1,30,20,WOOD,0.0,0.0,0.0,0.0,NOVEMBER-FEBRUARY/MON-SAT/0800-1800
SPF,AIRPORT,18/36,2625,60,TURF-F,0.0,0.0,0.0,0.0,UNATNDD
