tail_number,date,aircraft,origin,origin_location,destination,destination_location,departure,arrival,duration
N548LM,10-Aug-2022,LJ31,Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",09:21PM AKDT,10:05PM AKDT,0:44
N548LM,10-Aug-2022,LJ31,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",04:21PM AKDT,04:59PM AKDT,0:38
N548LM,09-Aug-2022,LJ31,Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",10:55PM AKDT,11:47PM AKDT,0:51
N548LM,09-Aug-2022,LJ31,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",08:51PM AKDT,09:52PM AKDT,1:00
N548LM,06-Aug-2022,LJ31,Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",08:05PM AKDT,08:46PM AKDT,0:41
N548LM,06-Aug-2022,LJ31,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",06:37PM AKDT,07:17PM AKDT,0:39
N548LM,02-Aug-2022,LJ31,Ketchikan Intl (KTN / PAKT),"Ketchikan Intl (Ketchikan, AK) - KTN / PAKT",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",03:38AM AKDT,05:30AM AKDT,1:52
N548LM,02-Aug-2022,LJ31,Boeing Field Intl (KBFI),"Boeing Field Intl (Seattle, WA) - KBFI",Ketchikan Intl (KTN / PAKT),"Ketchikan Intl (Ketchikan, AK) - KTN / PAKT",02:15AM PDT,03:07AM AKDT,1:51
N548LM,01-Aug-2022,LJ31,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Boeing Field Intl (KBFI),"Boeing Field Intl (Seattle, WA) - KBFI",08:30PM AKDT,12:27AM PDT (+1),2:57
N548LM,01-Aug-2022,LJ31,Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",04:29PM AKDT,05:26PM AKDT,0:56
