tail_number,date,aircraft,origin,origin_location,destination,destination_location,departure,arrival,duration
N545LM,30-Jul-2022,BE20,Arctic Village (PARC),"Arctic Village (Arctic Village, AK) - PARC",Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",08:20PM AKDT,09:06PM AKDT,0:46
N545LM,30-Jul-2022,BE20,Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",Arctic Village (PARC),"Arctic Village (Arctic Village, AK) - PARC",07:07PM AKDT,08:02PM AKDT (?),0:54
N545LM,30-Jul-2022,BE20,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",03:32PM AKDT,04:28PM AKDT,0:56
N545LM,30-Jul-2022,BE20,Dawson City (CYDA),"Dawson City (Dawson City, Yukon) - CYDA",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",01:15PM MST,01:52PM AKDT,1:37
N545LM,30-Jul-2022,BE20,Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",Dawson City (CYDA),"Dawson City (Dawson City, Yukon) - CYDA",09:24AM AKDT,11:24AM MST (?),1:00
N545LM,30-Jul-2022,BE20,Arctic Village (PARC),"Arctic Village (Arctic Village, AK) - PARC",Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",12:55AM AKDT,01:43AM AKDT,0:47
N545LM,29-Jul-2022,BE20,Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",Arctic Village (PARC),"Arctic Village (Arctic Village, AK) - PARC",11:50PM AKDT,12:45AM AKDT (+1) (?),0:54
N545LM,29-Jul-2022,BE20,Merrill Field (MRI / PAMR),"Merrill Field (Anchorage, AK) - MRI / PAMR",Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",08:46PM AKDT,09:39PM AKDT,0:53
N545LM,29-Jul-2022,BE20,Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",Merrill Field (MRI / PAMR),"Merrill Field (Anchorage, AK) - MRI / PAMR",06:50PM AKDT,07:49PM AKDT,0:59
N545LM,28-Jul-2022,BE20,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",07:58PM AKDT,08:53PM AKDT,0:55
N545LM,28-Jul-2022,BE20,Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",05:03PM AKDT,06:09PM AKDT,1:06
N545LM,27-Jul-2022,BE20,Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",06:12PM AKDT,06:32PM AKDT,0:20
N545LM,27-Jul-2022,BE20,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",04:16PM AKDT,05:16PM AKDT,0:59
N545LM,26-Jul-2022,BE20,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",03:25PM AKDT,03:29PM AKDT,0:04
N545LM,16-Jul-2022,BE20,Seward (SWD / PAWD),"Seward (Seward, AK) - SWD / PAWD",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",01:29PM AKDT,02:06PM AKDT,0:36
N545LM,16-Jul-2022,BE20,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Seward (SWD / PAWD),"Seward (Seward, AK) - SWD / PAWD",12:14PM AKDT,12:36PM AKDT,0:21
N545LM,16-Jul-2022,BE20,Soldotna (SXQ / PASX),"Soldotna (Soldotna, AK) - SXQ / PASX",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",10:22AM AKDT,10:50AM AKDT,0:27
N545LM,16-Jul-2022,BE20,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Soldotna (SXQ / PASX),"Soldotna (Soldotna, AK) - SXQ / PASX",08:52AM AKDT,09:10AM AKDT,0:17
N545LM,16-Jul-2022,BE20,Soldotna (SXQ / PASX),"Soldotna (Soldotna, AK) - SXQ / PASX",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",02:21AM AKDT,02:42AM AKDT,0:21
N545LM,16-Jul-2022,BE20,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Soldotna (SXQ / PASX),"Soldotna (Soldotna, AK) - SXQ / PASX",12:40AM AKDT,01:03AM AKDT,0:22
N545LM,15-Jul-2022,BE20,Merrill Field (MRI / PAMR),"Merrill Field (Anchorage, AK) - MRI / PAMR",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",11:37PM AKDT,11:40PM AKDT,0:03
N545LM,15-Jul-2022,BE20,Wilder Runway LLC (05K / PAKX),"Wilder Runway LLC (Port Alsworth, AK) - 05K / PAKX",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",10:00PM AKDT,10:47PM AKDT,0:46
N545LM,15-Jul-2022,BE20,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Wilder Runway LLC (05K / PAKX),"Wilder Runway LLC (Port Alsworth, AK) - 05K / PAKX",08:23PM AKDT,09:22PM AKDT,0:59
N545LM,15-Jul-2022,BE20,Wilder Runway LLC (05K / PAKX),"Wilder Runway LLC (Port Alsworth, AK) - 05K / PAKX",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",03:41PM AKDT,04:32PM AKDT,0:50
N545LM,15-Jul-2022,BE20,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Wilder Runway LLC (05K / PAKX),"Wilder Runway LLC (Port Alsworth, AK) - 05K / PAKX",01:42PM AKDT,02:47PM AKDT,1:04
N545LM,15-Jul-2022,BE20,Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",05:52AM AKDT,07:11AM AKDT,1:18
N545LM,15-Jul-2022,BE20,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",03:03AM AKDT,04:45AM AKDT,1:41
N545LM,14-Jul-2022,BE20,King Salmon (PAKN),"King Salmon (King Salmon, AK) - PAKN",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",09:48PM AKDT,10:51PM AKDT,1:03
N545LM,14-Jul-2022,BE20,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",King Salmon (PAKN),"King Salmon (King Salmon, AK) - PAKN",08:17PM AKDT,09:26PM AKDT,1:09
N545LM,14-Jul-2022,BE20,Valdez Pioneer Fld (VDZ / PAVD),"Valdez Pioneer Fld (Valdez, AK) - VDZ / PAVD",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",05:13PM AKDT,05:51PM AKDT,0:38
N545LM,14-Jul-2022,BE20,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Valdez Pioneer Fld (VDZ / PAVD),"Valdez Pioneer Fld (Valdez, AK) - VDZ / PAVD",03:42PM AKDT,04:15PM AKDT,0:33
N545LM,13-Jul-2022,BE20,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",02:43PM AKDT,03:17PM AKDT,0:33
N545LM,13-Jul-2022,BE20,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Ruby (RBY / PARY),"Ruby (Ruby, AK) - RBY / PARY",02:43PM AKDT,,Diverted
N545LM,13-Jul-2022,BE20,Wolf Lake (4AK6),"Wolf Lake (Palmer, AK) - 4AK6",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",01:22PM AKDT,01:42PM AKDT,0:20
N545LM,13-Jul-2022,BE20,Dillingham (DLG / PADL),"Dillingham (Dillingham, AK) - DLG / PADL","Warren ""Bud"" Woods Palmer Muni (PAQ / PAAQ)",Warren ,10:43AM AKDT,12:02PM AKDT,1:18
N545LM,13-Jul-2022,BE20,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Dillingham (DLG / PADL),"Dillingham (Dillingham, AK) - DLG / PADL",07:46AM AKDT,08:58AM AKDT,1:12
N545LM,12-Jul-2022,BE20,Gulkana (GKN / PAGK),"Gulkana (Gulkana, AK) - GKN / PAGK",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",09:05PM AKDT,09:52PM AKDT,0:46
N545LM,12-Jul-2022,BE20,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Gulkana (GKN / PAGK),"Gulkana (Gulkana, AK) - GKN / PAGK",07:44PM AKDT,08:31PM AKDT,0:47
N545LM,12-Jul-2022,BE20,Seward (SWD / PAWD),"Seward (Seward, AK) - SWD / PAWD",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",05:45PM AKDT,06:09PM AKDT,0:23
N545LM,12-Jul-2022,BE20,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Seward (SWD / PAWD),"Seward (Seward, AK) - SWD / PAWD",04:20PM AKDT,04:45PM AKDT (?),0:25
N545LM,11-Jul-2022,BE20,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",08:00PM AKDT,10:22PM AKDT,2:21
N545LM,11-Jul-2022,BE20,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Gustavus (GST / PAGS),"Gustavus (Gustavus, AK) - GST / PAGS",08:00PM AKDT,,Diverted
N545LM,11-Jul-2022,BE20,Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",10:43AM AKDT,12:06PM AKDT,1:23
N545LM,11-Jul-2022,BE20,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",07:50AM AKDT,09:19AM AKDT,1:28
N545LM,09-Jul-2022,BE20,Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",12:06AM AKDT,01:07AM AKDT,1:00
N545LM,08-Jul-2022,BE20,Nenana Muni (ENN / PANN),"Nenana Muni (Nenana, AK) - ENN / PANN",Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",09:58PM AKDT,10:09PM AKDT,0:10
N545LM,08-Jul-2022,BE20,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Nenana Muni (ENN / PANN),"Nenana Muni (Nenana, AK) - ENN / PANN",07:43PM AKDT,08:38PM AKDT,0:54
N545LM,08-Jul-2022,BE20,Sleetmute (SLQ / PASL),"Sleetmute (Sleetmute, AK) - SLQ / PASL",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",02:00AM AKDT,03:05AM AKDT,1:05
N545LM,08-Jul-2022,BE20,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Sleetmute (SLQ / PASL),"Sleetmute (Sleetmute, AK) - SLQ / PASL",12:30AM AKDT,01:25AM AKDT (?),0:55
N545LM,06-Jul-2022,BE20,Unalaska (DUT / PADU),"Unalaska (Unalaska, AK) - DUT / PADU",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",05:07PM AKDT,07:41PM AKDT,2:33
N545LM,05-Jul-2022,BE20,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Unalaska (DUT / PADU),"Unalaska (Unalaska, AK) - DUT / PADU",05:45PM AKDT,08:46PM AKDT,3:00
N545LM,05-Jul-2022,BE20,King Cove (KVC / PAVC),"King Cove (King Cove, AK) - KVC / PAVC",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",12:57PM AKDT,03:01PM AKDT,2:03
N545LM,05-Jul-2022,BE20,Cold Bay (CDB / PACD),"Cold Bay (Cold Bay, AK) - CDB / PACD",King Cove (KVC / PAVC),"King Cove (King Cove, AK) - KVC / PAVC",12:23PM AKDT,12:29PM AKDT,0:05
N545LM,05-Jul-2022,BE20,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Unalaska (DUT / PADU),"Unalaska (Unalaska, AK) - DUT / PADU",09:35AM AKDT,12:00PM AKDT,2:24
N545LM,04-Jul-2022,BE20,King Cove (KVC / PAVC),"King Cove (King Cove, AK) - KVC / PAVC",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",05:10PM AKDT,07:16PM AKDT,2:05
N545LM,04-Jul-2022,BE20,Unalaska (DUT / PADU),"Unalaska (Unalaska, AK) - DUT / PADU",King Cove (KVC / PAVC),"King Cove (King Cove, AK) - KVC / PAVC",04:11PM AKDT,04:54PM AKDT (?),0:43
N545LM,01-Jul-2022,BE20,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Unalaska (DUT / PADU),"Unalaska (Unalaska, AK) - DUT / PADU",12:02PM AKDT,03:05PM AKDT,3:03
N545LM,30-Jun-2022,BE20,Cold Bay (CDB / PACD),"Cold Bay (Cold Bay, AK) - CDB / PACD",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",09:48PM AKDT,11:58PM AKDT,2:10
N545LM,30-Jun-2022,BE20,Unalaska (DUT / PADU),"Unalaska (Unalaska, AK) - DUT / PADU",Cold Bay (CDB / PACD),"Cold Bay (Cold Bay, AK) - CDB / PACD",05:00PM AKDT,05:46PM AKDT,0:45
N545LM,25-Jun-2022,BE20,Sand Point (SDP / PASD),"Sand Point (Sand Point, AK) - SDP / PASD",Unalaska (DUT / PADU),"Unalaska (Unalaska, AK) - DUT / PADU",04:06PM AKDT,05:11PM AKDT,1:05
N545LM,25-Jun-2022,BE20,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Sand Point (SDP / PASD),"Sand Point (Sand Point, AK) - SDP / PASD",01:15PM AKDT,03:29PM AKDT,2:13
N545LM,25-Jun-2022,BE20,Unalaska (DUT / PADU),"Unalaska (Unalaska, AK) - DUT / PADU",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",08:29AM AKDT,10:59AM AKDT,2:30
N545LM,24-Jun-2022,BE20,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Unalaska (DUT / PADU),"Unalaska (Unalaska, AK) - DUT / PADU",10:47AM AKDT,01:40PM AKDT,2:52
N545LM,23-Jun-2022,BE20,Unalaska (DUT / PADU),"Unalaska (Unalaska, AK) - DUT / PADU",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",06:02PM AKDT,08:36PM AKDT,2:33
N545LM,23-Jun-2022,BE20,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Unalaska (DUT / PADU),"Unalaska (Unalaska, AK) - DUT / PADU",02:08PM AKDT,04:51PM AKDT,2:43
N545LM,23-Jun-2022,BE20,King Cove (KVC / PAVC),"King Cove (King Cove, AK) - KVC / PAVC",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",08:24AM AKDT,10:36AM AKDT,2:12
N545LM,23-Jun-2022,BE20,Unalaska (DUT / PADU),"Unalaska (Unalaska, AK) - DUT / PADU",King Cove (KVC / PAVC),"King Cove (King Cove, AK) - KVC / PAVC",07:19AM AKDT,08:02AM AKDT,0:43
N545LM,21-Jun-2022,BE20,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Unalaska (DUT / PADU),"Unalaska (Unalaska, AK) - DUT / PADU",10:45AM AKDT,01:21PM AKDT,2:36
N545LM,21-Jun-2022,BE20,Soldotna (SXQ / PASX),"Soldotna (Soldotna, AK) - SXQ / PASX",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",07:07AM AKDT,07:26AM AKDT,0:18
N545LM,21-Jun-2022,BE20,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Soldotna (SXQ / PASX),"Soldotna (Soldotna, AK) - SXQ / PASX",05:15AM AKDT,05:31AM AKDT,0:16
N545LM,20-Jun-2022,BE20,Gulkana (GKN / PAGK),"Gulkana (Gulkana, AK) - GKN / PAGK",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",10:41PM AKDT,11:22PM AKDT,0:40
N545LM,20-Jun-2022,BE20,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Gulkana (GKN / PAGK),"Gulkana (Gulkana, AK) - GKN / PAGK",09:28PM AKDT,10:12PM AKDT (?),0:43
N545LM,20-Jun-2022,BE20,King Salmon (PAKN),"King Salmon (King Salmon, AK) - PAKN",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",03:40PM AKDT,04:46PM AKDT,1:06
N545LM,20-Jun-2022,BE20,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",King Salmon (PAKN),"King Salmon (King Salmon, AK) - PAKN",02:14PM AKDT,03:17PM AKDT,1:03
N545LM,20-Jun-2022,BE20,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Unalaska (DUT / PADU),"Unalaska (Unalaska, AK) - DUT / PADU",02:14PM AKDT,,Diverted
N545LM,20-Jun-2022,BE20,Unalaska (DUT / PADU),"Unalaska (Unalaska, AK) - DUT / PADU",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",08:13AM AKDT,11:02AM AKDT,2:48
N545LM,19-Jun-2022,BE20,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Unalaska (DUT / PADU),"Unalaska (Unalaska, AK) - DUT / PADU",06:47AM AKDT,09:25AM AKDT,2:37
N545LM,19-Jun-2022,BE20,Togiak (TOG / PATG),"Togiak (Togiak Village, AK) - TOG / PATG",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",01:04AM AKDT,02:30AM AKDT,1:26
N545LM,18-Jun-2022,BE20,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Togiak (TOG / PATG),"Togiak (Togiak Village, AK) - TOG / PATG",09:47PM AKDT,11:09PM AKDT (?),1:21
N545LM,18-Jun-2022,BE20,Kodiak (PADQ),"Kodiak (Kodiak, AK) - PADQ",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",08:02PM AKDT,08:58PM AKDT,0:55
N545LM,18-Jun-2022,BE20,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Kodiak (PADQ),"Kodiak (Kodiak, AK) - PADQ",05:55PM AKDT,06:57PM AKDT,1:01
N545LM,18-Jun-2022,BE20,Dillingham (DLG / PADL),"Dillingham (Dillingham, AK) - DLG / PADL",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",08:55AM AKDT,10:09AM AKDT,1:13
N545LM,18-Jun-2022,BE20,Unalaska (DUT / PADU),"Unalaska (Unalaska, AK) - DUT / PADU",Dillingham (DLG / PADL),"Dillingham (Dillingham, AK) - DLG / PADL",05:59AM AKDT,07:42AM AKDT,1:43
N545LM,17-Jun-2022,BE20,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Unalaska (DUT / PADU),"Unalaska (Unalaska, AK) - DUT / PADU",03:49PM AKDT,06:47PM AKDT,2:58
N545LM,17-Jun-2022,BE20,Dillingham (DLG / PADL),"Dillingham (Dillingham, AK) - DLG / PADL",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",11:50AM AKDT,12:59PM AKDT,1:09
N545LM,17-Jun-2022,BE20,Unalaska (DUT / PADU),"Unalaska (Unalaska, AK) - DUT / PADU",Dillingham (DLG / PADL),"Dillingham (Dillingham, AK) - DLG / PADL",09:05AM AKDT,10:35AM AKDT,1:30
N545LM,16-Jun-2022,BE20,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Unalaska (DUT / PADU),"Unalaska (Unalaska, AK) - DUT / PADU",09:35AM AKDT,12:27PM AKDT,2:52
N545LM,15-Jun-2022,BE20,Cold Bay (CDB / PACD),"Cold Bay (Cold Bay, AK) - CDB / PACD",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",06:41PM AKDT,08:43PM AKDT,2:02
N545LM,15-Jun-2022,BE20,Unalaska (DUT / PADU),"Unalaska (Unalaska, AK) - DUT / PADU",Cold Bay (CDB / PACD),"Cold Bay (Cold Bay, AK) - CDB / PACD",05:18PM AKDT,06:00PM AKDT,0:42
N545LM,15-Jun-2022,BE20,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Unalaska (DUT / PADU),"Unalaska (Unalaska, AK) - DUT / PADU",10:32AM AKDT,01:26PM AKDT,2:54
N545LM,14-Jun-2022,BE20,King Cove (KVC / PAVC),"King Cove (King Cove, AK) - KVC / PAVC",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",05:30PM AKDT,07:39PM AKDT,2:09
N545LM,14-Jun-2022,BE20,Unalaska (DUT / PADU),"Unalaska (Unalaska, AK) - DUT / PADU",King Cove (KVC / PAVC),"King Cove (King Cove, AK) - KVC / PAVC",04:25PM AKDT,05:10PM AKDT (?),0:44
N545LM,14-Jun-2022,BE20,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Unalaska (DUT / PADU),"Unalaska (Unalaska, AK) - DUT / PADU",09:34AM AKDT,12:19PM AKDT,2:44
N545LM,13-Jun-2022,BE20,Unalaska (DUT / PADU),"Unalaska (Unalaska, AK) - DUT / PADU",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",05:25PM AKDT,08:09PM AKDT,2:43
N545LM,12-Jun-2022,BE20,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Unalaska (DUT / PADU),"Unalaska (Unalaska, AK) - DUT / PADU",04:46PM AKDT,07:57PM AKDT,3:11
N545LM,12-Jun-2022,BE20,Unalaska (DUT / PADU),"Unalaska (Unalaska, AK) - DUT / PADU",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",11:27AM AKDT,02:03PM AKDT,2:36
N545LM,11-Jun-2022,BE20,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Unalaska (DUT / PADU),"Unalaska (Unalaska, AK) - DUT / PADU",07:55PM AKDT,10:48PM AKDT,2:53
N545LM,11-Jun-2022,BE20,Sand Point (SDP / PASD),"Sand Point (Sand Point, AK) - SDP / PASD",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",05:05PM AKDT,07:01PM AKDT,1:55
N545LM,11-Jun-2022,BE20,Unalaska (DUT / PADU),"Unalaska (Unalaska, AK) - DUT / PADU",Sand Point (SDP / PASD),"Sand Point (Sand Point, AK) - SDP / PASD",02:41PM AKDT,03:38PM AKDT (?),0:56
N545LM,10-Jun-2022,BE20,Sand Point (SDP / PASD),"Sand Point (Sand Point, AK) - SDP / PASD",Unalaska (DUT / PADU),"Unalaska (Unalaska, AK) - DUT / PADU",09:30PM AKDT,10:37PM AKDT,1:07
N545LM,10-Jun-2022,BE20,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Sand Point (SDP / PASD),"Sand Point (Sand Point, AK) - SDP / PASD",07:46AM AKDT,10:41AM AKDT (?),2:54
N545LM,10-Jun-2022,BE20,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Unalaska (DUT / PADU),"Unalaska (Unalaska, AK) - DUT / PADU",07:46AM AKDT,,Diverted
N545LM,10-Jun-2022,BE20,Unalaska (DUT / PADU),"Unalaska (Unalaska, AK) - DUT / PADU",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",03:48AM AKDT,06:47AM AKDT,2:59
N545LM,08-Jun-2022,BE20,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Unalaska (DUT / PADU),"Unalaska (Unalaska, AK) - DUT / PADU",01:50PM AKDT,04:44PM AKDT,2:54
N545LM,08-Jun-2022,BE20,Unalaska (DUT / PADU),"Unalaska (Unalaska, AK) - DUT / PADU",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",09:12AM AKDT,12:10PM AKDT,2:57
N545LM,03-Jun-2022,BE20,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Unalaska (DUT / PADU),"Unalaska (Unalaska, AK) - DUT / PADU",09:22AM AKDT,12:03PM AKDT,2:41
N545LM,02-Jun-2022,BE20,Unalaska (DUT / PADU),"Unalaska (Unalaska, AK) - DUT / PADU",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",05:58PM AKDT,08:47PM AKDT,2:49
N545LM,01-Jun-2022,BE20,Cold Bay (CDB / PACD),"Cold Bay (Cold Bay, AK) - CDB / PACD",Unalaska (DUT / PADU),"Unalaska (Unalaska, AK) - DUT / PADU",02:56PM AKDT,03:44PM AKDT,0:47
N545LM,01-Jun-2022,BE20,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Cold Bay (CDB / PACD),"Cold Bay (Cold Bay, AK) - CDB / PACD",12:23PM AKDT,02:31PM AKDT,2:08
N545LM,01-Jun-2022,BE20,Unalaska (DUT / PADU),"Unalaska (Unalaska, AK) - DUT / PADU",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",07:39AM AKDT,10:20AM AKDT,2:41
N546LM,21-Jan-2023,BE20,Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",01:41PM AKST,02:57PM AKST,1:16
N546LM,21-Jan-2023,BE20,Kodiak (PADQ),"Kodiak (Kodiak, AK) - PADQ",Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",11:06AM AKST,12:42PM AKST,1:35
N546LM,21-Jan-2023,BE20,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Kodiak (PADQ),"Kodiak (Kodiak, AK) - PADQ",04:15AM AKST,05:24AM AKST,1:08
N546LM,18-Jan-2023,BE20,Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",08:10AM AKST,09:10AM AKST,1:00
N546LM,17-Jan-2023,BE20,Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",09:09AM AKST,10:33AM AKST,1:23
N546LM,16-Jan-2023,BE20,Anaktuvuk Pass (PAKP),"Anaktuvuk Pass (Anaktuvuk Pass, AK) - PAKP",Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",05:30PM AKST,06:34PM AKST,1:03
