Site Id,Loc Id,ICAO Id,State Id,Sequence,Schedule
00696.03*H,AZ54,,AZ,1,UNATNDD
00696.1*H,76AZ,,AZ,1,UNATNDD
00696.71*A,GYR,KGYR,AZ,1,ALL/ALL/ALL
00696.*H,AZ56,,AZ,1,UNATNDD
00700.1*A,GCN,KGCN,AZ,3,OCT 1 - MAY 31/ALL/0700-1900
00700.1*A,GCN,KGCN,AZ,4,JUN 1 - SEP 30/ALL/0600-2000
00702.*A,14AZ,,AZ,1,UNATNDD
00704.*A,68AZ,,AZ,1,UNATNDD
00705.*A,6AZ2,,AZ,1,UNATNDD
00706.1*A,03AZ,,AZ,1,ALL/ALL/ALL
00710.61*A,AZ21,,AZ,1,ALL/ALL/ALL
00710.6*A,11AZ,,AZ,1,ALL/ALL/ALL
00710.*A,P14,,AZ,1,UNATNDD
00712.8*A,0V7,,AZ,1,UNATNDD
00713.*A,E67,,AZ,1,ALL/MON-FRI/0900-1700
00716.01*A,73AZ,,AZ,1,UNATNDD
00716.11*A,4AZ6,,AZ,1,UNATNDD
00716.1*A,AZ97,,AZ,1,UNATNDD
00716.*A,IGM,KIGM,AZ,1,ALL/MON-FRI/0600-1600
00716.*A,IGM,KIGM,AZ,2,ALL/SAT-SUN/0600-1400
00717.01*A,AN01,,AZ,1,UNATNDD
00717.71*A,9AZ2,,AZ,1,UNATNDD
00717.76*A,HII,KHII,AZ,1,ALL/ALL/0800-1700
00717.8*H,AZ80,,AZ,1,ALL/ALL/ALL
00717.9*H,71AZ,,AZ,1,UNATNDD
00717.*A,AZ45,,AZ,1,IREG
00718.*A,AZ90,,AZ,1,UNATNDD
00727.2*H,02AZ,,AZ,1,ALL/ALL/ALL
00727.9*U,4AZ8,,AZ,1,ALL/ALL/IREG
00728.4*A,AZ03,,AZ,1,UNATNDD
00728.57*A,AZ78,,AZ,1,UNATNDD
00728.58*A,AZ13,,AZ,1,ALL/FRI-SUN/0800-1800
00728.59*A,AZ31,,AZ,1,UNATNDD
00728.5*A,L41,,AZ,1,ALL/ALL/DALGT
00728.61*A,40AZ,,AZ,1,UNATNDD
00728.62*H,2AN2,,AZ,1,UNATNDD
00728.63*A,41AZ,,AZ,1,UNATNDD
00728.64*A,2AZ4,,AZ,2,ALL/ALL/ALL
00728.65*G,E68,,AZ,1,ALL/MON-FRI/1100-DUSK
00728.65*G,E68,,AZ,2,ALL/SAT-SUN/0900-DUSK
00728.66*A,AZ43,,AZ,1,ALL/ALL/ALL
00728.73*A,2AZ9,,AZ,1,ALL/MON-FRI/0800-1600
00728.8*A,L25,,AZ,1,UNATNDD
00728.*A,MZJ,KMZJ,AZ,1,ALL/ALL/0700-1530
00729.11*H,66AZ,,AZ,1,UNATNDD
00729.13*H,AZ10,,AZ,1,ALL/MON-FRI/0800-1700
00729.15*H,AZ81,,AZ,1,ALL/MON-FRI/0600-1630
