,Loc Id,Facility Type,Wind Indicator,ARP Latitude DD,ARP Longitude DD,Runway Id,Surface Type Condition,Edge Light Intensity,WBC Single,WBC Dual,WBC Two Dual,WBC Tandem Two Dual,Base Marking Condition,ICAO Id,#Runway Id
4003,FL23,HELIPORT,,30.40344167,-86.91675278,H1,CONC-F,PERI,,,,,,,1
4004,FD58,HELIPORT,Y-L,30.25491944,-81.58307778,H1,CONC,,,,,,,,1
4005,05FD,HELIPORT,,25.96092528,-80.13921194,H1,TURF,NSTD,,,,,,,1
4006,AVO,AIRPORT,Y-L,27.59129989,-81.52896683,10/28,ASPH-F,MED,78,119,,,P,KAVO,2
4007,AVO,AIRPORT,Y-L,27.59129989,-81.52896683,05/23,ASPH-E,MED,50,73,,,G,KAVO,2
4008,8FL3,AIRPORT,Y,29.07303556,-81.99953056,18/36,TURF,,,,,,,,1
4009,FD57,AIRPORT,Y,27.46976,-80.41644111,18/36,TURF,,,,,,,,1
4010,82FL,HELIPORT,Y-L,30.56242222,-84.22129167,H1,CONC-G,PERI,,,,,,,1
4011,7FD0,HELIPORT,,30.07851389,-81.71039167,H1,CONC,,,,,,,,1
4012,FL85,HELIPORT,Y,30.42936417,-87.23108194,H1,CONC-F,PERI,,,,,F,,1
4013,9FA8,HELIPORT,Y,25.686075,-80.33847778,H1,ASPH-F,PERI,,,,,F,,1
4014,7FD4,HELIPORT,,30.315795,-81.6623175,H1,CONC,,,,,,,,1
4015,45FD,HELIPORT,,30.27233889,-81.39763056,H1,CONC-F,PERI,,,,,,,1
4016,FD91,HELIPORT,Y,30.65369444,-81.44816667,H1,ASPH,,,,,,,,1
4017,42FA,HELIPORT,,30.1975,-81.83472222,H1,CONC,,,,,,,,1
4018,1FL7,HELIPORT,Y-L,27.91891389,-81.84508056,H1,CONC,PERI,,,,,,,1
4019,BOW,AIRPORT,Y-L,27.94336111,-81.78341667,09L/27R,ASPH-G,MED,,,,,G,KBOW,3
4020,BOW,AIRPORT,Y-L,27.94336111,-81.78341667,09R/27L,ASPH-CONC-P,,,,,,G,KBOW,3
4021,BOW,AIRPORT,Y-L,27.94336111,-81.78341667,05/23,ASPH-P,MED,35,60,110,,G,KBOW,3
4022,FD65,HELIPORT,,27.88002611,-81.84119306,H1,TURF,,,,,,,,1
4023,02FL,HELIPORT,,28.04583611,-82.10263889,H1,CONC-TURF,,,,,,,,1
4024,7FL2,HELIPORT,,28.22200833,-82.35684444,H1,CONC-TURF,,,,,,,,1
4025,1FA7,HELIPORT,,28.53877778,-82.44175278,H1,CONC-TRTD-F,,,,,,,,1
4026,2FD3,HELIPORT,Y-L,27.76302778,-82.6423,H1,CONC,PERI,,,,,,,2
4027,2FD3,HELIPORT,Y-L,27.76302778,-82.6423,H2,CONC,PERI,,,,,,,2
4028,36FD,HELIPORT,,30.19381194,-85.66131694,H1,TURF,,,,,,,,1
4029,8FL4,HELIPORT,Y,30.15777778,-85.64944444,H1,CONC,PERI,,,,,,,1
4030,FD64,HELIPORT,Y,27.81039167,-82.78236111,H1,CONC,,,,,,,,2
4031,FD64,HELIPORT,Y,27.81039167,-82.78236111,H2,ASPH,,,,,,,,2
4032,4FD4,SEAPLANE BASE,Y,30.18492389,-85.74993083,07W/25W,WATER,,,,,,,,1
4033,FA34,HELIPORT,Y-L,30.20796667,-85.82924444,H1,CONC-E,FLD,,,,,G,,1
4034,0FL6,HELIPORT,Y-L,30.25106667,-85.90157222,H1,CONC-E,FLD,,,,,G,,1
4035,X10,AIRPORT,Y-L,26.69818889,-80.66024444,09/27,ASPH-E,LOW,,,,,G,,1
4036,52FA,AIRPORT,Y,27.93961111,-81.43202778,03/21,TURF,,,,,,,,1
4037,FL21,HELIPORT,Y,30.46301611,-81.61509556,H1,TURF-F,,,,,,F,,1
4038,FL49,HELIPORT,Y,29.16969722,-82.14953611,H1,TURF,,,,,,,,1
4039,88FD,HELIPORT,Y,26.50528889,-80.0705,H1,CONC,PERI,,,,,,,1
4040,FL47,HELIPORT,,26.52927778,-80.19844444,H1,CONC-E,,,,,,,,1
4041,59FD,AIRPORT,Y,26.32620833,-80.98796667,10/28,ASPH,,,,,,,,1
4042,6FD2,AIRPORT,,28.66694083,-81.08450583,17/35,TURF,,,,,,,,1
4043,FA11,AIRPORT,Y,30.62243056,-83.25931333,03/21,TURF,,,,,,,,1
4044,71FD,HELIPORT,Y,30.07388889,-81.81583333,H1,CONC,,,,,,,,1
4045,FA25,AIRPORT,,30.50095,-84.0781,14/32,TURF-G,,,,,,,,2
4046,FA25,AIRPORT,,30.50095,-84.0781,15/33,TURF-G,,,,,,,,2
4047,8FD3,AIRPORT,Y,30.877685,-86.85440444,18/36,TURF,,,,,,,,1
